Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-3.651988711;-82.64819471;-41.77661767;-10.35157789;-28.37630757;-4.365154099;-28.75873329;-3.146853445;-28.78016883;-52.28653499;-2.4733969;2.796107415;3.18796214;-34.26037839;-41.3732219;-60.49205773;-25.84478678;6.721445847;-21.24044144
-11.56895106;-85.78071994;-37.45620759;-21.7147724;-7.78;-6.253835795;-28.67799529;-11.18966771;-25.52898623;-76.75186332;-4.362680951;1.779025633;-8.379637313;-13.94776412;-29.04444786;-55.28149492;-27.69638797;46.84533875;0.264026205
-13.4225334;-55.23345207;-16.51945384;-19.76607203;28.93287735;-5.268112435;-15.4280217;-12.22136928;-5.726491812;-66.71081169;-2.062147377;1.763379643;-14.9364409;6.762053426;4.999641063;-18.00606585;-16.64953152;65.62534313;19.17727063
-8.087776214;-18.18956262;7.753510746;-9.289359642;58.33053335;-2.154991276;1.244937715;-7.456210444;16.94417661;-36.73843536;3.52160391;1.82163766;-13.01304688;12.59337306;35.4614085;25.07022071;-0.048312229;50.76202264;23.40697502
0.64533963;-1.846679709;20.898918;0.290485364;62.04649408;1.035181995;10.53345711;-1.397198986;27.20644179;-11.38502741;9.245287695;0.907879352;-5.052555968;-0.290707243;42.34092863;46.03131243;11.58697796;13.05477725;11.68176712
7.046134329;-13.86611742;17.37151434;2.005332212;39.93176555;2.459426093;8.282781984;1.772629935;19.2102954;-6.990104015;11.56112922;-1.487482484;2.570615044;-22.00715994;25.64828486;36.0532209;11.94995109;-22.06819225;-6.283370925
7.582080752;-39.49436808;3.406015927;-4.09232274;9.032470659;1.725440069;-0.861069426;1.105932535;0.286669074;-21.59128639;8.895717152;-5.098290373;4.259109376;-37.22220561;3.632906486;10.20508984;2.833550134;-33.495062;-17.71208653
3.086374302;-56.01187917;-8.937260093;-12.07392961;-10.08505536;-0.037298211;-8.050134727;-1.014442279;-15.19703741;-39.63426401;2.723357224;-9.14597251;-0.985739723;-36.96463704;-3.217315793;-6.734413096;-8.120820107;-19.01945604;-16.26106441
-2.441615978;-51.51543734;-11.25414253;-15.53637536;-8.36993204;-1.223975762;-7.467140952;-1.353632436;-16.81548084;-46.20085252;-3.560039063;-12.85767499;-9.371892254;-24.59445901;11.15927747;-1.051656696;-13.60891674;5.227652587;-5.781492506
-5.132103811;-32.79832553;-4.272312045;-12.65432282;6.89469448;-1.010912902;-0.37255514;1.363794471;-5.3306677;-38.5996555;-7.101682991;-15.86227225;-15.5751296;-11.78145321;34.47383955;19.6902355;-11.7640089;18.93421518;3.966361098
-3.930224703;-17.27884279;4.363054311;-6.996178436;20.16138958;0.161213631;6.842117684;5.586803223;9.040665239;-26.52462956;-7.458137922;-18.22561821;-16.68997057;-8.552771396;47.26955399;34.65563351;-6.458826347;13.33204884;5.523505991
-0.768108393;-17.31811223;7.265310911;-3.950087891;20.89226905;1.154626988;8.414425977;8.497339973;15.33724231;-22.07903161;-6.448867014;-20.17093266;-13.86312238;-15.81195422;39.19565019;28.23955145;-3.204652661;-3.79746166;-0.912710144
1.499173126;-30.63393068;3.101974028;-6.12380639;10.99869113;1.168975532;3.791805135;8.454513998;10.28214972;-29.05347523;-6.265169759;-21.75242594;-10.68782322;-25.96954065;16.84378999;3.106934188;-4.454839435;-16.61608243;-8.822520682
1.437434141;-44.0835075;-3.464438428;-11.56122327;1.228536115;0.352165722;-2.506562119;6.206900387;-0.058777009;-40.48781408;-7.517650606;-22.75698915;-10.02407848;-30.25283098;-2.634138185;-22.76992748;-8.14752478;-15.03046674;-11.50613821
-0.203980785;-46.18944209;-6.836901702;-15.92639956;0.784455127;-0.457488528;-5.110881234;3.987630507;-6.065190562;-45.74292559;-8.865515075;-22.90412171;-11.91083816;-26.01105591;-5.928635128;-31.6875796;-10.24151259;-2.162920816;-7.527013142
-1.609043441;-36.85594048;-5.619936715;-16.41797109;9.542277248;-0.537673227;-2.214473349;3.472403897;-2.567960863;-40.1689268;-8.444656812;-22.15671312;-14.02265308;-18.05518964;6.292952657;-20.66012606;-8.617243199;9.86227784;-1.150777216
-1.627149463;-26.20924449;-3.373540444;-13.94989371;19.10402487;0.105089719;3.459330781;4.461450916;7.452359968;-28.83070011;-5.748201669;-20.84762827;-13.90778459;-13.63387523;21.38886793;-2.730638362;-4.858974315;11.08344266;1.948688291
-0.576754516;-24.580106;-4.74244777;-11.90703171;20.89599555;0.817048494;7.549295564;5.36839842;16.00424278;-21.5033036;-2.255011952;-19.46622566;-10.92965811;-15.97959914;26.20868348;5.13680539;-2.590886995;1.821217274;-0.407625564
0.372312968;-33.1567362;-10.7796062;-12.83127025;13.74349338;0.93325057;7.966884191;4.941692546;16.92166226;-23.8490858;-0.230756675;-18.24084487;-6.386893696;-22.02478278;17.84242484;-3.429034741;-4.121870404;-8.726167535;-5.53335566
0.431745418;-43.49;-17.71956968;-16.05542608;4.475799669;0.36618137;6.419404131;3.589118024;10.59734548;-32.64370381;-0.741850828;-16.86688794;-2.030305905;-25.76784151;4.965184537;-19.64098534;-8.460541941;-11.27919262;-8.749631378
-0.158372117;-45.65156765;-20.15961047;-18.28285506;1.594871818;-0.35963046;6.486274426;3.100890673;3.036789298;-38.94162884;-2.623438838;-14.66982015;1.473107547;-23.80656494;-0.402759563;-28.10832147;-12.32317162;-4.485636956;-7.568785383
-0.545230242;-37.23244856;-15.68494581;-16.46783596;7.940781954;-0.610839268;10.20777916;5.029119615;0.544469328;-36.02995392;-3.335009683;-11.16697112;4.746515163;-18.05614746;6.962550242;-20.3883429;-13.03366707;4.629746938;-3.494879459
-0.173537167;-25.14325328;-6.867447219;-10.4335564;18.65786155;-0.205416459;16.2313478;9.16801542;4.721465478;-25.12519345;-1.02788403;-6.637680071;8.560171945;-13.58965793;21.88641805;-1.732426796;-10.66327175;7.496983379;-0.207481532
0.752834619;-19.04232351;0.947600192;-3.036599066;25.76435097;0.461308892;20.97405256;13.47657991;11.72955846;-14.12177582;3.883534782;-2.22546977;12.56830707;-13.9535297;33.89323789;14.17840281;-7.634281296;1.614661011;-0.134292054
1.641907661;-22.70091067;3.954385157;2.12798086;24.95366774;0.799360512;21.58901122;15.53219741;15.94624264;-10.86532066;8.944827688;0.60695893;15.19394181;-18.26687159;35.80542118;17.13561671;-6.367056731;-7.69479175;-2.569166602
2.237058018;-31.06801019;2.548315188;3.452336997;18.76415209;0.543154231;18.12524387;14.31384666;14.60669141;-16.89813267;11.492056;0.960781075;14.81141621;-22.44328311;28.46877236;8.334441572;-7.210115251;-12.45117105;-4.778233637
2.90010932;-35.30480821;0.277837142;2.24368719;13.81979232;-0.052398407;13.1994842;10.8786263;9.620795;-26.76047171;10.60073754;-0.89001709;11.17246741;-23.05679508;18.45869628;-2.031986183;-8.450891579;-9.112742994;-4.749441819
