Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
7.06709558;-22.94658527;-5.050540545;5.708597497;-51.26276703;3.186267633;2.351139738;7.526142051;-2.022665065;1.902060331;10.96272401;9.804886644;18.46601261;-89.24390906;-53.20876019;-21.1378458;4.429752665;-39.3743333;-10.44824112
10.94012802;-84.71107965;-26.96114022;-4.314534742;-93.70769652;2.578986534;-39.70482835;9.232601781;-34.99290574;-13.07088825;9.136802593;6.219840491;23.83357406;-116.1512465;-100.7337541;-68.38773532;5.866048764;-64.90978864;-24.00111709
8.282763568;-115.0567361;-38.8379213;-9.633633505;-92.42464457;0.657909903;-60.52634926;14.02786512;-47.87106677;-14.24412967;7.692384265;3.817353349;23.2271782;-93.58917781;-110.5091451;-83.68767863;3.84572857;-53.76691784;-24.657363
0.939928544;-99.75495158;-34.47037548;-7.314298632;-49.94836821;-1.2886481;-47.70890783;22.02070371;-31.1696728;3.406991696;9.159876105;5.116718185;18.62625312;-34.61046959;-79.1324576;-58.69193052;0.561226445;-16.02880594;-12.89495071
-6.263679009;-54.31404662;-18.29603978;0.530459879;4.737460698;-2.035286584;-11.29697462;31.70176721;5.258168933;32.33384814;14.21637885;9.632098713;14.25382972;25.14846305;-28.42273159;-11.89954618;-0.926511318;21.71527976;2.620463377
-9.000172992;-11.92468012;-1.967329354;8.558538924;37.47285808;-1.284747278;24.1991456;40.38288602;39.41017262;57.51944512;20.99650134;14.18893156;13.35894134;52.68736584;10.39703891;25.64872058;0.860802014;36.04228251;11.65632343
-6.314129606;0.658128974;4.078878752;12.24127574;32.79974318;0.198292703;37.7844406;45.49379738;52.86711284;66.96978065;26.24786082;15.26042207;15.99020633;39.79645528;18.43254041;33.01265796;4.685119534;22.56262465;9.73781451
-0.827264046;-19.03099841;-2.354574198;10.91365233;2.642115228;1.245445935;26.09626627;45.92684862;43.00482114;59.62832266;27.4585076;11.52572654;19.33611891;5.949182703;0.656102327;13.06372779;7.683900863;-3.466823096;0.660932928
3.620668356;-50.3785038;-14.66060875;7.550533651;-25.60779055;1.182677362;3.421682762;42.51647231;22.76025468;44.94599758;24.36499204;4.710883981;20.14773685;-18.93481604;-20.70982023;-12.43706871;7.763692398;-20.87016167;-7.325751947
4.851316151;-67.60317434;-23.21807911;5.741931336;-31.00242561;0.266170714;-11.22136934;37.33757209;9.045144574;34.94944593;18.80488365;-1.843082946;17.22003906;-17.4128959;-24.90056245;-21.33637528;5.313777935;-18.8517485;-8.229742496
3.523627474;-59.46430472;-22.66146824;6.586846325;-13.5179015;-0.636311033;-8.944975967;32.35808122;9.599438317;35.31540566;13.20419006;-5.665246529;12.0565781;4.586645614;-8.448264342;-8.009732816;2.846613317;-3.209930212;-2.515058887
1.962580963;-35.65853521;-15.0686659;8.106120474;9.135264422;-0.798701105;3.779389737;28.41857095;18.57304757;42.25633411;8.982819745;-6.731635089;7.428471964;25.91248876;13.8175321;14.15647976;2.899818859;11.08427024;4.185999501
1.920673496;-16.38242149;-7.162908264;7.471111459;17.94467039;-0.191116492;12.53826877;25.19483421;23.42621896;46.99789396;6.053261044;-7.014819352;5.191554837;29.0175582;22.42076614;25.378975;5.952780588;13.37744287;6.248441578
3.234073473;-14.99734857;-4.425076637;3.89037047;7.896196813;0.582157406;7.802069328;21.99722134;16.4898177;43.57365871;3.565221863;-8.563521722;5.129193747;13.55826239;9.868536336;15.95729152;10.05219612;5.285701037;2.589279968
4.340605967;-28.23542656;-7.073829483;-0.494787534;-9.875104524;0.846591727;-7.685169392;18.63125749;1.302951239;33.44855688;1.033917882;-11.78582229;5.555018625;-5.426542583;-13.23033709;-6.750570828;12.3913007;-2.755282654;-3.00915695
3.944707406;-40.98703156;-10.8060868;-2.506948848;-19.3092291;0.415268302;-22.35783473;15.58854798;-11.09777066;23.59995649;-1.182659874;-15.29576962;4.923756799;-11.59926304;-27.11747957;-25.56205157;11.48741333;-2.159173829;-5.597303863
2.222943161;-40.28264865;-11.04819539;-0.895408446;-13.3648575;-0.312603296;-26.18302986;13.48598073;-12.08748062;20.23720262;-2.368585727;-17.28658058;3.014881244;-0.928113686;-19.23493245;-27.85949044;8.180039063;5.817000145;-3.31873289
0.544940083;-26.09721946;-6.800019531;2.338414175;1.123704044;-0.744957011;-18.68993934;12.35279442;-2.796556212;23.67129194;-2.301430128;-17.1339169;0.830308717;16.27495651;5.42705895;-14.93889673;4.729618996;11.58378015;1.358325515
0.105114748;-10.33554031;-0.982244784;3.530488304;10.77691122;-0.605458908;-8.243332354;11.49313007;7.185710768;28.44314033;-1.593903001;-15.84577767;-0.456200046;25.38910958;28.26694048;0.723881099;2.892366854;6.412054473;4.172626045
0.8110897;-5.886594565;2.526304577;0.560023193;7.790629575;-0.122306733;-4.028896876;10.12195803;8.221212411;28.20401973;-1.191400747;-15.05816639;-0.432446864;20.07048674;31.98800432;6.867149975;2.627633655;-9.0911481;2.876963724
1.450634126;-15.72480709;2.232126201;-5.097604964;-3.90321372;0.22733456;-8.205942947;8.247158321;-1.261111203;21.02788819;-1.511471737;-15.54270254;0.499407745;6.653138015;14.47399353;1.297471142;2.450190742;-24.67758188;-1.02378889
0.930092773;-31.16162318;-0.135295771;-9.313671594;-13.15273346;0.154913325;-14.87775037;6.984025215;-13.70629159;10.84913024;-2.049251984;-16.55805589;1.782734363;-2.518313219;-9.441191618;-7.774033699;0.987477405;-28.52907922;-3.904638528
-0.60614754;-39.94456753;-1.673428842;-8.551779698;-11.94657341;-0.211680903;-16.14528761;7.907229508;-18.94776438;4.204321609;-1.838034392;-16.57900641;3.269650055;-0.143528633;-19.74039466;-10.20932575;-1.690809023;-16.81299221;-3.338297685
-1.829468334;-36.59100758;-1.060298793;-2.753945858;-2.150499521;-0.485273453;-9.405185564;11.83991966;-12.5154604;5.259326341;-0.361958395;-14.71679468;5.095026316;10.35123459;-7.36284194;-3.150134716;-4.118039681;3.169955415;-0.103834949
-1.415693375;-26.10581215;0.555408353;4.518036579;6.95707717;-0.388541305;0.570848537;17.99578398;1.142425219;13.11788587;1.907451839;-11.56730852;7.06718923;18.80801217;17.79087432;7.077703182;-4.743835307;18.55387952;2.747598351
0.707651043;-18.55723817;1.147277886;8.795276569;7.487415681;0.006890846;6.236411776;24.18924009;12.74406006;23.1274028;3.857484102;-8.755444262;8.343772554;17.68462827;33.228416;11.46708611;-3.307748141;20.36457798;2.734518575
3.18542282;-19.93132692;0.150477029;8.042285988;-0.129322386;0.370786506;4.087726611;28.05;15.65050608;30.56363741;4.690048828;-7.584226927;7.919031331;8.259305578;20.00846885;6.918560453;-1.060950288;9.314720926;0.078456472
