Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
86.00349698;-44.12509075;-72.70726761;125.3023853;128.6035721;46.00168122;18.71670126;122.9253936;99.58624722;132.7864818;127.5795117;151.2021841;116.088612;161.9218412;161.6446879;151.2670699;161.1962716;163.8310594;106.4917371
72.38756542;-54.28408635;-102.2251909;113.8383167;116.7947685;34.56342031;-31.28353216;106.3998332;86.00677084;111.8836776;125.6916271;150.5111257;103.34475;148.7261321;146.9847264;140.8539523;152.1605987;152.553914;94.47196506
36.71170844;-42.05594563;-83.50485727;62.02833256;61.68589275;12.48120822;-61.63949874;54.47843503;41.90702128;50.46698131;77.01765398;94.03099112;51.47900837;83.99361333;84.22084696;82.49667729;89.62186636;90.94549877;51.06207264
-0.162844244;-14.39219569;-28.28720511;-1.140026855;-4.677965957;-7.3217387;-54.90704173;-3.228383692;-5.056229292;-16.72771654;12.44805682;16.57690225;-8.97681897;6.035191925;11.48374241;11.53848377;11.4112152;16.48646356;2.362849234
-19.67100654;11.28236911;29.57681935;-42.06697728;-46.88769781;-14.83375228;-17.95777243;-37.15774142;-28.25477216;-54.67254134;-30.88122745;-37.96911918;-45.45089724;-42.65697568;-31.75582937;-33.55673955;-39.47954279;-30.47139739;-25.5999549
-17.20882955;19.5211045;57.4219997;-44.62524032;-49.14307571;-9.224333745;23.51211203;-36.36813558;-19.80374931;-50.66779096;-34.37913067;-45.45545168;-44.32698318;-43.28363431;-30.13706728;-36.20034931;-43.29744078;-33.12639374;-23.61835005
-2.983947828;7.503707922;45.34;-18.86639756;-22.82790513;1.827533574;43.27136625;-12.64574843;6.249305216;-19.7234077;-7.964462493;-14.53027604;-17.16730617;-10.15758766;0.964859248;-9.322814495;-13.51315983;-5.983350332;-2.945519002
7.569958492;-13.97885647;10.66228062;9.133152098;5.45506662;8.69907409;31.75691906;11.30650418;26.63399014;9.799234762;20.91244738;24.02761651;10.96686813;23.74150631;30.70180754;18.2677446;17.37526517;20.09492586;15.62984154
5.715741121;-29.43367173;-16.94469367;17.5402361;14.80723224;6.92623381;0.023047131;19.30281171;26.81959469;17.98108221;29.33463165;41.77797412;20.85211109;32.50203278;36.6601924;24.72451385;23.67770784;22.45283346;17.88779693
-5.410078125;-30.162601;-17.77908051;3.517698766;3.63261471;-0.454293152;-30.9064782;11.42147937;10.39805795;5.788812855;14.70170516;31.71227602;11.20217601;14.37977186;19.05840264;9.41867732;3.82211856;1.710517393;5.107003865
