Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-29.70210107;-31.27963976;-65.39106622;-13.94894508;-6.020480888;-16.01595408;-72.25576347;-18.49682999;-57.40649061;-14.79932118;-22.9;0.487165773;-6.497362155;5.712965118;-13.58594878;-0.034084298;5.184051169;-0.133876552;-15.65322317
-47.71015225;-10.52185014;-28.04309912;-32.85710699;-37.07135428;-23.17567077;-58.8286901;-40.79409094;-60.20110715;-32.3717634;-40.28824762;-27.53385001;-26.58566572;-30.36260714;-39.61604924;-26.34280036;-31.6021878;-32.70250418;-38.84261876
-44.79987268;19.82068491;6.291058862;-33.48561312;-49.05614677;-19.46515733;-18.22449765;-43.51339948;-36.31920361;-31.41459642;-38.53391634;-35.36277597;-29.52245808;-44.06;-40.05030582;-31.80249598;-46.24058802;-42.59406384;-42.01567179
-24.77401574;40.97844906;15.58671008;-16.70907436;-35.96679597;-7.786508631;22.08464957;-24.44703779;1.490124316;-11.06691841;-16.67543912;-17.14451847;-11.67199266;-27.41881775;-14.98490007;-13.65017328;-31.51418686;-25.63649624;-24.80619702
-1.683638581;41.81975002;-1.88855336;5.529343933;-8.065111311;4.058362236;36.92203989;4.441089152;32.47269888;16.32675447;13.08090717;14.63330351;16.13181845;6.375391127;18.00853005;14.73844913;-0.601050043;3.388074881;-0.153923228
10.46228877;25.68873911;-27.74576168;19.27798813;16.21075489;9.066688876;21.7363559;26.1157632;42.38588769;34.42682477;34.30879945;38.9114213;36.94154996;33.55331489;37.18567706;34.03422392;23.5392023;22.3503388;15.52321781
7.258672322;6.465232523;-38.5741527;18.39911371;23.68799419;5.768550174;-5.489573702;30.60649424;32.39615018;34.64635677;37.78761276;41.69602235;40.05362924;37.55938801;32.38248972;33.13328545;25.41787738;18.34740195;14.0620411
-4.27466805;-2.407560676;-23.90638196;7.84176207;14.93453797;-1.442554231;-19.55346557;20.99693445;16.20024792;21.52782757;26.89232945;25.50996887;27.89192399;20.26498911;11.31424242;16.47498783;7.560354526;-3.474914764;0.352935273
-12.34966614;2.780078125;6.567537173;-1.50555093;1.834757232;-6.267733798;-7.994814437;9.321089024;8.52695369;8.123876467;13.49820509;5.916550008;12.66768692;-1.467478524;-7.701789314;-0.676738161;-13.23380916;-25.12542386;-12.87056557
-9.797519247;15.03855122;31.25580907;-1.702915427;-2.923772226;-5.380335356;19.88261232;6.39420231;14.45546788;5.58403939;8.335931364;-1.315373123;6.230319136;-10.12911224;-10.15299509;-4.663904296;-20.05060496;-30.20505349;-15.47559986
1.159237056;23.71609249;33.16390243;6.729892205;4.341677639;-0.440148917;41.23307738;13.89542493;27.46689041;15.25003906;13.54744503;8.103783895;11.48320783;-0.874774931;4.521848889;6.428732764;-8.767899013;-15.98458636;-7.18168084
11.87131679;23.13692102;11.77458524;16.4760109;16.66848002;3.969744097;37.77347629;24.49;36.57124328;28.94404611;22.71573575;25.23051126;21.75312346;16.40058425;24.22853201;22.49613383;10.1452776;5.86999931;3.616443897
