Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
28.6267629;42.12133969;10.66139361;37.85800022;16.05712586;7.677325445;8.505349421;16.1371564;0.931885872;42.28136541;-29.23333051;10.77547699;10.51162909;19.53748184;28.17989968;28.92523497;24.93958283;37.93582404;15.80252293
43.32089204;49.8615774;28.61038027;47.65572408;26.04947884;16.12090951;41.27601328;30.65804385;20.42618354;52.34;-7.24482336;30.78728178;26.00304037;31.3564051;47.8396029;44.77971543;34.40972644;52.74398077;29.66090593
47.56250073;37.8048532;27.3021671;41.97803382;30.20148094;17.92416429;47.25140993;34.88263015;37.16926799;50.4847858;23.79348145;41.38894345;33.39570444;38.5679431;52.17427283;48.4433941;38.8132926;55.0338099;35.94656136
37.92542737;13.65295469;9.766233563;21.40939343;23.16049086;11.76821584;26.61317123;23.89751137;38.01331219;33.19304263;44.96446932;35.46083712;26.42628919;33.60100108;37.01908819;33.98535946;30.92464076;40.06937444;29.52247753
19.79827784;-7.775871994;-10.17542037;-4.567830017;6.869405739;1.526314914;-3.081649584;2.083357552;20.10186938;6.160297379;43.6963692;15.84769251;8.254192073;16.7417257;10.12399257;6.786156239;11.42047085;13.30523766;13.47053898
3.572663588;-15.24858385;-18.74512036;-23.26914606;-10.13360987;-6.51800648;-20.92659931;-19.26377347;-6.727759802;-18.25799955;22.51171381;-6.189278918;-10.4260469;-3.280234244;-13.8422019;-19.25226705;-10.64875229;-12.36027675;-2.882520267
-2.582601716;-8.306254809;-11.89083102;-26.5690724;-18.53175672;-8.113943488;-17.74871679;-29.23334277;-26.83598613;-28.64298716;-3.499689641;-18.50514868;-18.90252605;-15.32457484;-23.08614229;-30.86078824;-23.92265493;-24.79497734;-10.48025582
2.069723299;4.118842005;3.180538686;-15.39799227;-14.73966883;-3.792022739;-0.793308501;-24.2260166;-29.58142454;-21.75509099;-17.94911235;-15.99895251;-13.88016641;-13.94087493;-16.13558436;-24.27560263;-22.77711299;-20.39937594;-6.702148712
11.30930795;11.74709489;14.79389429;1.858382844;-3.113661846;2.03635975;14.5449474;-9.566707964;-15.92893271;-4.125203683;-14.18547531;-3.157533405;-1.196271556;-3.187978786;-1.68769001;-7.286805798;-11.13430442;-5.79361515;3.359446614
17.27968567;10.75605037;15.84410802;15.45359153;7.69854825;4.713179553;18.09747681;5.03202529;3.605658301;13.04482064;1.909287565;10.28506699;9.284756021;6.839212827;8.567132614;6.901629547;0.847355111;7.575123305;11.20497507
16.24238194;5.314088009;8.106277101;20.27428952;11.22654684;2.757543985;12.12113864;12.42656708;17.3509791;21.6568471;18.32924531;16.82162565;11.37560244;7.98428345;8.419648673;9.186260143;4.471505295;11.59392338;11.27296425
10.44530725;2.44333849;-0.615139879;17.71857561;7.389841239;-1.491100289;7.012911969;12.19880457;20.41975628;21.33311472;26.46891274;15.9647963;6.800790189;0.17044783;0.642982513;0.307291194;-1.468748516;6.303106499;4.476735591
5.226164752;5.278839573;-3.17216494;12.88029095;1.462475521;-4.224121913;10.21995156;9.361559694;16.51356509;17.83338695;26.17536583;13.11278623;2.90879179;-9.041951017;-6.506646868;-11.09119266;-10.80417688;-1.755602807;-3.414653437
4.264992817;10.60703518;2.035843773;9.916029258;-0.869644318;-3.370389713;18.53545112;9.332175631;13.22613724;17.23610184;23.3644185;14.11224393;6.10772604;-10.87206956;-6.363244408;-15.93092645;-15.65263499;-5.617739138;-6.772222287
6.98799954;12.39316709;11.1532903;9.333124336;1.943263558;-0.043555113;20.58602358;13.52401001;15.4179793;20.94453922;23.54680891;20.29291554;16.51640547;-2.381787716;1.269143226;-11.52672004;-12.73381048;-3.210537767;-4.295509651
9.879765782;7.705487865;18.65926722;8.840790705;6.735118686;2.73680039;7.238427773;18.8778701;21.99296468;25.37579226;27.28433253;27.82051356;28.0074978;11.42170805;10.85086935;-2.656357953;-5.320783799;2.06831857;0.712743791
10.03392748;-0.408105734;21.04386776;6.337962049;9.012083675;2.731961942;-19.24045487;21.11760804;27.91710781;25.95011094;30.9250752;31.32592557;33.24475517;21.82324716;16.10684121;3.275424409;0.263034984;5.233765482;3.678031855
7.611699095;-5.561777595;17.68606604;2.120553964;7.035949319;0.242783268;-45.36157422;18.5450769;28.91701518;21.44434675;30.90907188;28.34702154;29.36162727;23.229351;14.77377463;2.473413629;0.187104683;4.218421242;2.569336047
5.207588684;-3.690617505;9.379383886;-1.507567919;3.060226711;-2.414662779;-56.07707081;13.14925153;24.63321637;14.84965145;27.1217143;20.90063717;19.75111976;17.01399144;9.391348778;-2.761884037;-4.068273781;1.134485635;-0.928229452
5.038477389;3.344663648;-3.060136277;-2.549250219;0.919075984;-3.058271569;-46.10709225;8.442422323;18.02487034;10.27662852;22.3594246;13.32343921;10.91818315;9.58407451;4.157327483;-6.88390316;-7.685856034;-0.362872785;-3.471927229
6.726396563;9.328280421;-18.45912411;-1.250065918;2.386817431;-1.461193362;-23.77884298;6.292710316;12.30839718;9.027847429;19.01499228;8.703025776;7.380596875;6.727177376;1.119140402;-6.33624347;-7.135359238;1.180058594;-3.195777511
7.70046535;8.965991427;-33.97564413;0.114930396;5.631055717;0.660061035;-4.460368559;5.652261331;8.525990268;8.549819024;16.64373289;7.050039063;8.851940416;9.142259644;-0.920973575;-2.523231689;-3.233044268;3.6663042;-1.11786387
5.732825832;2.247384047;-44.96162742;-0.683579189;7.035691519;1.317587477;0.912545423;4.127286874;5.692503555;5.180586156;12.89534654;6.401365906;11.61392798;12.6735664;-4.225843797;-0.179287266;-0.095465438;3.570367525;0.189227379
1.181620448;-5.776686549;-47.1117647;-3.852538487;4.61619962;0.012664989;-6.912719417;0.696947971;2.798726912;-1.953096859;6.758676367;5.308926456;12.33172176;12.59285141;-9.127447564;-2.897938885;-1.187157903;-0.61047948;-0.808772779
-3.151415074;-9.410751503;-39.5776347;-7.495278705;-0.092583864;-1.938537076;-17.72993876;-3.063169834;0.342553566;-9.61683884;0.666296892;4.157544574;10.76183751;7.961111928;-13.21932262;-9.884377369;-6.126089816;-6.830505673;-3.201937271
-4.422281304;-6.989315947;-26.33213599;-9.454392823;-3.329563209;-2.688893079;-21.0013964;-4.403862864;-0.160202787;-13.09339808;-0.966455837;4.205853686;9.200876421;2.351706344;-13.49897539;-16.68222751;-11.04402239;-11.27230442;-4.609729153
-2.227093678;-1.862091779;-14.1854822;-9.362183981;-2.366610253;-1.525793594;-14.10814221;-2.128090531;1.944268225;-10.46447311;4.261844553;5.6037101;9.63249736;0.574426909;-9.380131928;-19.04714536;-12.03829948;-11.74559587;-3.501754937
1.066273003;0.898995323;-8.588368165;-9.004314898;2.176260707;0.557001619;-3.357906572;1.941116629;5.203038995;-4.640770348;13.84;6.624899555;11.4978562;4.46378464;-3.668636788;-16.48260637;-8.558495356;-9.577787431;-0.670004883
2.428445719;-1.01367321;-10.29032746;-10.61422476;6.949386313;1.810911318;2.243192324;4.185409945;6.817123181;-1.143058348;21.44813734;5.085241846;12.1953948;11.38574679;-0.476396199;-12.42521021;-3.763806662;-8.279945374;1.474974854
0.847288676;-5.368911071;-15.32640338;-14.56378939;8.785134284;1.286514589;-1.316679535;2.123093915;4.80965952;-3.415128732;21.50335738;0.671138567;9.731707794;16.56464844;-1.858886111;-11.0832111;-1.659144497;-10.21182423;1.0912
-1.770063477;-7.665650803;-18.19270064;-18.48943648;7.292991898;-0.397558828;-10.23061645;-3.474041321;-0.350105025;-9.732331979;13.49072428;-4.138983483;4.923401023;17.01585527;-6.135713813;-13.77882544;-3.632398571;-14.27184716;-1.434451528
-2.226285771;-5.220996678;-15.67524006;-18.71726588;4.919185518;-1.690471968;-16.65595763;-9.103714592;-6.10756014;-14.48765158;2.48;-5.691176082;0.997352255;13.66579382;-9.357129085;-17.91363418;-7.418295881;-16.71323277;-3.832852857
1.253923519;0.561859786;-8.558856281;-12.94937495;4.565617986;-1.509833589;-15.34099412;-11.23643471;-9.784835385;-12.86564013;-4.601714807;-2.099163355;0.864767287;10.03460497;-8.598317045;-19.29252131;-9.267935092;-14.40083191;-3.954613488
7.554110338;5.571732248;-0.363984296;-2.143376177;6.990445573;-0.141871726;-7.476682591;-8.897774959;-10.3728532;-4.942150411;-3.875454011;5.024052524;4.498647903;8.910193624;-4.202526224;-15.68323418;-7.287718293;-7.667004756;-1.620043945
13.6091118;6.572666313;5.44562598;9.835812857;10.29158205;1.108787359;0.95911543;-4.021526378;-8.687363544;4.31060061;3.280664306;11.6369098;8.783009018;10.05072496;0.8884876;-8.594040645;-3.001259573;-0.28119862;1.29456792
16.83174133;3.759552638;7.54617468;18.49552144;11.81976348;1.132068924;4.37285567;0.537074853;-6.038822619;9.139437925;12.13107475;14.32452718;10.01865684;10.82971338;3.955118276;-1.934940927;0.124034764;3.446954528;2.537704505
16.91086664;0.196553709;6.952484878;21.26494525;10.68895536;-0.027851177;1.74291072;3.43886736;-2.902670825;7.749356313;18.54387773;12.800464;6.945919949;9.035345787;4.857685329;1.113809604;-0.240328535;1.982355522;1.39101676
15.57153408;-1.071710388;5.82254792;18.65069372;8.588618319;-1.288648566;-3.245126812;5.602481029;1.112969408;3.663794541;21.53515892;9.819604138;1.731297405;5.195091891;5.858791912;0.365658398;-3.317667414;-2.41856325;-0.852607753
14.75;0.520809637;6.113070103;13.51481584;8.203544083;-1.548368753;-5.556852681;8.744811428;6.154663353;2.627363627;22.59970458;8.728395514;-1.831837115;2.357525083;9.211867107;-1.65827935;-5.975477064;-5.670438801;-2.156473624
14.95625335;3.164413101;8.807013212;9.280722343;10.71655177;-0.65185779;-2.556616847;13.22988954;11.24805328;7.768883114;23.10668544;10.86998399;-1.28625265;3.588060593;14.83620679;-1.999488594;-5.367233604;-4.996592686;-1.52169191
15.24623985;4.975882318;13.55381283;8.30046879;14.65618395;0.541364726;4.578561312;17.31528464;14.81036303;17.13592617;22.65058467;15.0291802;2.85012925;9.401060738;20.2492558;0.556636812;-1.110854865;-0.638212835;0.316210865
14.62543422;6.127063872;18.40364885;11.09881736;17.09806194;0.986337034;12.10835135;18.54753679;16.21949914;25.55786241;20.014857;19.14055323;7.953224509;17.28547862;22.79407362;5.055921431;4.734253425;5.017263602;1.79649712
13.37285151;8.700628919;19.93089464;16.44499921;16.11424296;0.384241222;15.99074748;16.04803153;16.84440255;29.03635769;15.61679248;22.42147141;11.64477982;23.58265394;22.06203481;9.644998199;9.574294082;9.756493073;2.084181478
12.9210857;14.39148766;14.44830805;21.89671544;12.29878652;-0.616952932;13.47690496;11.57545231;19.21925748;27.78714833;12.65545978;25.81296584;13.46703185;26.00883386;20.22363195;13.08110909;12.18779875;13.10220363;1.769875756
14.36890383;22.24578588;0.353473501;24.6599091;8.094519829;-1.080441001;3.716343997;8.318814948;24.73673142;25.41045775;15.27937652;30.33737161;14.56611564;24.76881577;19.90819228;15.14067785;13.01324289;15.88180853;2.097202828
17.07067238;28.66430377;-19.72;22.77976151;5.639869431;-0.648134988;-11.96223319;8.402154038;31.81094325;25.16712656;24.95834988;35.08325299;15.99167997;21.62820385;21.55581793;15.89255103;12.89419041;18.55146257;3.521005873
18.75901797;29.88626723;-38.94281129;16.39414581;5.125732535;0.17919328;-29.80228133;11.24964205;36.36995539;26.85713625;38.23301693;37.01986136;17.40981387;18.10051292;22.71809063;14.93938474;11.80739781;20.14435136;5.043186342
17.28510046;24.94111209;-49.40287184;8.269182648;5.084451412;0.567039416;-44.11684696;14.22332757;34.68041828;27.14190669;48.20243908;33.20839949;17.45607127;14.46839654;20.08209281;11.62582484;8.960375078;18.98636303;5.042716405
12.54520114;16.59029333;-46.79128053;2.806937915;4.197807187;0.150063782;-49.35690884;14.9582637;26.41855763;22.96751862;49.06013505;23.66420141;15.26918674;10.33150375;12.53950938;6.062413052;4.136703475;14.51277854;2.891487792
6.884593183;9.456474242;-33.45242963;3.583441156;2.813058112;-0.642691915;-43.24081961;13.34311505;15.44219691;14.90401598;40.29715243;12.25972332;11.59016096;5.845501735;2.607631149;-0.176136925;-1.197161421;8.367092434;-0.152302615
3.509954356;6.854565936;-17.27700636;10.76275813;2.668858009;-1.022674058;-28.8457543;11.430854;7.414521993;7.250731179;27.2202226;4.527851191;8.268718917;2.234909228;-5.14450188;-4.635339355;-4.384344779;3.557672155;-1.703025712
4.131136702;8.807020631;-6.818413021;20.31391752;5.05096508;-0.60605294;-13.54925319;11.40836335;5.949365502;4.634829144;17.25119622;3.838902778;6.61465917;0.991192838;-7.461247669;-5.594552018;-3.507372042;2.238837911;-0.128753148
7.725384573;12.60793735;-5.948393226;26.04417757;9.130512538;0.21539864;-4.818648586;13.47156922;10.19785428;7.998150261;14.78287987;8.929375331;6.211193545;2.529432122;-4.810498862;-3.380019531;0.886029483;4.009754205;4.015546386
11.39584245;15.17560656;-11.88268788;23.46565297;12.16179126;0.637247464;-5.523872503;15.5296069;15.70746106;13.51842399;18.45882197;14.80663691;5.417887379;5.643605874;-0.882123389;-0.16827712;5.9052088;6.252443162;8.255084992
12.58220834;15.14789711;-17.91706403;12.9177823;11.56787062;0.193765194;-12.27296442;15.03442829;17.82878578;15.54784262;22.77339337;16.38812093;3.172732884;8.353155601;0.35970367;1.660498024;8.379242697;6.274811036;9.999053189
