Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-13.04230469;4.098653729;58.2592606;-49.2291271;-32.00255098;-7.997643894;42.56800563;-41.94076236;-26.08052581;-40.47460736;-34.71887911;0.17242431;-26.25289786;-30.66155858;-22.03227811;-20.94557598;-25.56633589;-26.05611788;-17.81289352
-4.990019531;4.899678634;44.36515301;-47.70089817;-26.3568743;-6.175265729;40.58327047;-36.01161337;-33.52575809;-31.72917087;-33.82439909;3.940019531;-24.38597132;-33.63403204;-15.13090385;-15.98846225;-22.42016057;-18.22414714;-16.14377889
7.936109002;1.503498021;15.8673082;-41.88578513;-13.70027151;-2.415724047;22.38332948;-19.82035321;-17.75382861;-12.65452953;-11.24007813;14.3097695;-12.07754798;-27.33592656;-0.401995044;-4.897968811;-11.76203274;-3.899458462;-8.817691901
20.39697243;-2.873978398;-12.64920043;-36.10570385;-0.854094871;1.173086067;0.122693698;-2.439640291;6.253729094;5.212553316;16.61044455;23.81428346;3.201384352;-17.23702154;15.06218706;5.967468833;0.320496896;9.044555494;-0.162038891
28.25526308;-4.421870687;-27.38040128;-33.717057;6.515186376;2.889907535;-14.67713521;7.737841924;21.24071306;13.09524166;32.9860022;26.80583524;13.49670845;-9.875483922;24.96353837;11.20269546;7.828368126;14.95134562;5.450273962
30.65510263;-2.028821193;-24.65727261;-35.4710901;7.117505259;2.411206113;-17.38062079;7.6961767;18.88501767;9.959128068;31.14882533;22.82843807;14.94890612;-8.689445255;27.2784483;9.62926277;8.493773215;13.46969504;6.201032814
29.70782325;1.734761156;-12.27815816;-39.46089579;3.952268664;0.754394467;-11.30721457;0.782077758;4.011507905;1.827203378;17.3346993;16.20757969;9.310078125;-12.41958776;24.76472979;4.669104604;4.62528526;8.778786758;3.424155796
28.39743997;2.759110854;-2.298240995;-42.34950855;1.457436968;-0.607425954;-3.852264559;-6.266238226;-10.56022233;-3.392782935;4.994907401;12.64097867;1.867535874;-16.79304154;22.4716404;1.729043109;0.926329044;6.026157292;0.126952614
28.40992086;-1.145290009;-1.499113261;-41.12943989;2.267621514;-0.771471809;-0.96026059;-7.952554987;-14.03558869;-1.412159424;4.875365962;15.414972;-2.371440685;-17.91449003;24.13029653;4.470248801;1.066771529;7.761493624;-1.249081886
29.34650051;-8.339198079;-7.169677618;-34.64920875;5.852797297;0.127509448;-3.649461844;-3.229367773;-4.907960429;6.408509603;17.94938053;23.67181542;-1.542463041;-14.87104667;29.8347691;12.44718435;5.368840348;12.68886994;-0.235683917
29.58059023;-14.53684561;-10.99787505;-24.30617553;9.622491514;1.225718451;-8.290676764;4.538761642;9.429719108;15.2676757;35.72708765;33.43183125;2.78414767;-9.937728954;36.36665798;21.54670815;10.94503936;17.11996659;1.83536482
27.84681501;-16.07222641;-7.08624964;-13.55627429;11.25500411;1.674436619;-9.759484025;10.39810319;19.48697494;20.98717412;47.06537604;40.26761514;7.52490149;-6.597391143;39.68825233;26.7486182;13.89764913;17.69317268;3.14542626
24.31023808;-12.60325024;2.936792294;-6.325978264;10.37343819;1.240521842;-5.135857503;11.25778821;21.01692287;22.64669308;46.20816173;41.79083029;10.46423337;-7.005654895;37.77121075;25.27077575;11.95369367;13.42236627;2.739059304
20.44054851;-7.165573879;11.74165994;-5.012646698;8.494829095;0.375937421;4.183900373;7.690257264;17.28807904;22.18791346;36.36264297;38.61545258;11.38796503;-10.66825843;31.8695202;18.06800471;5.845595366;5.981622394;1.01418471
17.95139931;-3.686477901;12.93542808;-9.182945409;7.600258089;-0.206395546;12.91087749;3.12972535;15.20998477;21.98281922;26.68135121;33.56883358;11.47920348;-15.06145521;25.51734447;8.881640649;-1.290609699;-1.563295696;-0.788953266
17.66142559;-4.055443558;6.456823023;-15.86540032;8.592008765;-0.080435591;14.48272014;1.288182221;19.12660048;22.72318979;25.30904562;29.86267973;11.826934;-17.55781513;22.08218986;1.686351342;-5.955949878;-6.538817074;-1.557731795
19.05449451;-7.048533501;-1.835092798;-21.39803028;10.76152388;0.621472059;4.62051344;3.65698888;27.48041007;23.25526847;33.72;29.31043237;12.38887969;-17.23813509;22.59761404;-1.659756181;-6.412323404;-7.918952157;-1.013948073
20.73852995;-9.775548202;-5.615678486;-23.69086245;12.48538873;1.366315893;-15.88834965;8.709824996;34.67804727;22.08207777;46.25096317;31.49686328;12.17179344;-15.39081302;25.295502;-2.069946571;-3.588204815;-6.546184983;0.241530182
21.39056214;-10.28246284;-3.474969463;-23.35995998;12.46900117;1.642930224;-40.76322738;13.15979611;36.05976123;18.91612358;54.72805576;34.26230583;10.32390145;-14.46673363;27.02908499;-1.98175789;-0.282381709;-4.418626492;1.243963832
20.52614827;-9.139594535;0.534924203;-22.92739106;10.58593849;1.321352784;-60.80574393;14.24848839;31.60397262;14.9065111;54.44698886;35.17910352;7.132897423;-16.29019176;25.49658922;-3.314454216;0.748305204;-3.529534989;1.312344393
