Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-101.613923;-73.80195044;-116.3232008;-145.1638034;-98.09434865;-26.76360216;-124.54;-84.53886577;-60.63310827;-137.8515953;-170.9628816;-16.11904787;-24.49821679;-19.1924763;-36.85046621;-54.38252056;1.839503891;-97.46071705;-24.06027633
-37.37160806;-68.22899609;-77.13023611;-107.778046;-77.44;-35.58377696;-89.24118695;-67.17420412;-64.94296686;-88.2765786;-101.0607847;-35.23381445;-39.97857562;-38.24053891;-48.87439936;-63.19144253;-25.35366781;-80.7859045;-40.19243468
18.04317676;-42.89851987;-9.938814437;-35.25518454;-30.90849678;-28.16365455;-37.10762801;-29.56861538;-43.42675983;-24.59234225;-0.295660042;-37.51355881;-35.11191174;-37.20718078;-41.21716674;-49.08694313;-37.7718615;-41.18709417;-37.37137087
36.11390403;-10.26362274;44.81631991;30.0827702;14.69582763;-9.734182386;0.928658876;7.046245283;-9.860692793;13.40275775;73.17944612;-24.45315848;-14.6140954;-18.38566215;-20.97144491;-20.26040329;-29.75070936;-0.440462622;-18.1042417
16.21375309;14.03153617;58.32864554;55.96396875;35.97429399;7.82574084;7.457589562;24.32232191;15.53542458;9.093206059;84.28093565;-7.21742388;7.01700556;4.436480732;-2.536202429;6.887554703;-9.749481221;21.61649909;4.828718742
-17.58740164;20.98764139;31.23454998;40.23084468;28.04100097;14.49431785;-11.19479966;18.6314315;19.77646537;-21.7766187;42.76768778;2.219584803;16.23666723;16.33423909;3.008699306;19.00951267;6.776607628;19.24502797;17.66875068
-36.87637286;13.19574186;-10.63003906;7.793968284;5.515814851;8.753173772;-32.75429962;1.661436085;4.853536618;-46.52066295;-8.431850487;-0.164705146;9.860134402;11.84491381;-4.566650466;14.29120386;9.082525549;2.357403199;15.04413648
-29.73783236;1.589415944;-37.43421311;-11.08509117;-10.27971165;-2.392258374;-37.4057388;-9.920354499;-15.4942652;-42.12825911;-27.63148464;-8.539558021;-3.889829777;-2.166241132;-15.67303724;2.079943234;-1.689404016;-12.59032001;2.589086044
-6.525376994;-3.24636444;-36.22822752;-3.150957959;-7.342419087;-9.521527856;-21.95162818;-7.235356194;-26.67763447;-11.80013301;-4.285980388;-13.17182999;-12.92447836;-13.02732825;-19.15381287;-5.493263271;-14.92786141;-14.80475828;-8.538181654
11.9513401;1.445888524;-16.25442215;21.48917811;9.91127513;-7.94716395;0.471378535;5.362965854;-23.25444001;20.57125458;37.59251368;-8.908271234;-10.95375899;-12.49031939;-10.98703904;-3.000104112;-19.86975724;-5.508647294;-10.42660954
12.48397734;9.761368907;2.929644314;41.53960108;26.73638705;-0.441135199;13.07412518;15.59120633;-10.99609898;31.68620918;62.55260984;0.853655425;-1.575377085;-2.502138563;3.202593437;5.047361499;-13.97007813;5.227227886;-3.611745894
-1.20061578;13.04646641;8.682927804;43.15543135;31.09938378;6.038029904;9.030576376;14.14254876;-0.604979286;17.52750908;52.96620459;7.663991766;5.936789656;7.568721541;13.2037875;9.244845327;-3.872737563;7.5020203;4.774430215
-14.15833325;7.464596797;3.454377854;29.53041908;22.70407624;6.404053521;-4.742346107;2.1252928;1.118889363;-5.359608159;21.05572154;5.643254714;5.018030713;9.293076489;12.30679085;3.988694715;1.062776613;-0.932348755;7.612352289
-14.44565854;-2.890495316;-1.201819647;15.22057568;11.39110794;1.22879665;-15.16950703;-10.54080322;-4.288003997;-15.48122762;-4.065353127;-3.363357933;-2.822470966;1.976521686;1.974503094;-7.495906083;-3.222579324;-13.89941785;3.437230864
-3.027871965;-9.594617438;2.534235514;12.15178519;7.498989878;-4.473417217;-14.15435127;-13.70409284;-9.627635379;-4.583460633;-1.604968404;-11.35059708;-9.847464662;-7.430489097;-10.07486986;-15.78624935;-12.56197642;-22.23631258;-3.200930725
8.497494882;-6.985587736;11.24844042;20.09558954;13.00884608;-5.904017325;-3.726231655;-5.077900069;-8.754642044;16.87657794;24.80095634;-10.92764252;-9.084877077;-10.65003906;-16.14630126;-13.15313481;-18.66799669;-20.52980179;-6.284963241
9.176011956;3.154271601;14.30563184;28.9208406;20.75342358;-2.406085326;7.906707797;8.591618837;-1.554120751;30.44504156;52.22321099;-1.519248624;-0.260815056;-4.970048828;-13.91862023;-0.107897929;-16.31131931;-10.17282437;-3.508806986
-1.604668389;13.05631944;4.742620923;29.01226651;21.57360979;2.482198783;14.3396372;17.61468073;6.51204149;26.16019803;58.74338667;10.11991188;10.25319689;4.956666143;-7.009738517;14.71156809;-7.424591213;2.655824246;2.224299692
