Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
12.56774024;3.139651782;5.152848716;6.021165496;23.29082372;-0.489684365;43.01498563;31.15765643;33.2326714;-0.200108572;6.564966469;7.461221567;19.80723437;-4.232968486;-18.21674952;-8.593820513;5.601682944;-1.219952871;12.94775324
37.50351556;30.71119056;24.81071666;10.12897651;46.16;-0.146394576;80.44802092;71.07580071;66.25341808;18.78678231;47.97406481;46.53724269;53.40221317;10.82610037;13.65406865;34.13115961;36.85472319;19.68636729;45.47092238
47.88925125;43.08388073;32.60264471;10.86858852;51.10705721;1.031855353;96.88340017;80.02924759;71.26019136;25.63553829;67.64079858;63.37932489;58.45449598;16.93719656;30.08686579;60.09856289;48.9339964;29.26332576;57.31940011
37.49021541;33.65195889;25.73089319;9.996783882;32.03520598;2.236530025;81.22672077;50.72740549;45.39715282;18.34476741;55.94834148;49.16593488;30.11848329;11.12685525;22.68642273;52.39067648;36.08329306;22.85706249;42.27131446
13.88750512;9.94074097;10.94513698;9.475243953;-0.775307791;2.553654695;40.66866067;1.200965812;6.56327544;3.549508722;22.37314982;14.17312843;-14.22128445;-2.193994238;0.261816384;15.55746541;8.684074258;5.697979622;11.68569372
-7.124704525;-11.95941074;-0.515458037;10.37970169;-28.24273811;1.617277812;-4.572648546;-38.32943794;-20.26577548;-8.889634195;-11.87003906;-19.49305027;-47.61851274;-14.50374016;-18.42802581;-27.34814807;-14.37531293;-10.75223242;-13.90003906
-12.98405156;-19.03887586;-0.928609977;12.77732012;-36.16547659;-0.073019012;-34.43655101;-47.05071881;-21.2682023;-12.91382391;-28.58619628;-32.99096864;-52.83920648;-19.06510784;-19.04542602;-50.60894791;-19.08675413;-16.61860802;-19.44473692
-2.814362053;-10.0517458;9.03263859;16.24367338;-24.46380401;-1.434381285;-40.68527822;-27.10388565;-2.545025372;-9.583263641;-23.76408847;-22.60320781;-33.5217869;-15.0343662;-1.960326559;-42.90185215;-5.34326304;-9.842980818;-5.195690864
13.29453777;5.212239066;21.91498154;20.24377566;-5.406906293;-1.51876641;-29.51713962;0.674493198;16.62449348;-4.645271163;-7.575859087;-0.225319118;-9.287803751;-7.011771548;19.18909936;-13.38182318;14.72872041;3.483532335;15.33632952
22.96675347;14.81736213;29.75870569;24.00326171;6.860195873;-0.178593424;-14.62771264;14.34077891;19.75737986;-2.957887994;5.467721998;16.84324923;0.396705574;-0.887359338;28.88469697;16.81703257;26.96329941;14.37843445;26.76096321
20.89441515;14.07942673;29.76869481;26.24120171;6.696104239;1.785772548;-6.816037134;7.222412951;5.374134712;-4.584967823;7.719714193;18.44249266;-9.517198531;0.494424467;21.63703412;30.38217558;25.44838568;17.432522;23.16176699
11.61885095;7.917550903;25.11179023;25.4184723;-0.611116347;3.108913947;-7.721837817;-9.442496523;-13.6242856;-5.53904379;2.438174309;7.223651854;-27.92774882;-1.381413751;5.118650479;24.82852272;15.22991411;13.66474138;10.88065936
4.271928682;4.901181481;20.89715071;20.66134065;-5.174786948;2.85797588;-11.2302604;-18.25284159;-21.67999308;-2.034042858;-1.325548508;-5.67826735;-38.37087943;-2.942525408;-7.26669461;11.22336088;6.387020512;8.2194527;1.629396487
4.332579128;8.754287908;19.30549367;12.72926156;-1.389357703;1.026456245;-10.12859514;-10.85697923;-13.10100538;5.738352114;2.397100925;-10.34677197;-32.55017198;-1.964165814;-7.626512163;3.084690195;5.249877505;5.471844427;2.456459902
9.394924907;14.90984528;18.12965182;4.115857178;8.136958061;-1.446913753;-2.271939886;6.12897323;4.573196822;13.59362708;11.55186565;-5.17304006;-15.69329109;0.750786569;0.743456754;5.165934246;10.06604295;5.762061869;10.83581862
12.04376159;14.98552742;13.67114062;-2.048804735;16.12696393;-3.229131571;8.194977394;18.46751417;18.04455141;16.94416495;18.643159;3.550138184;-0.516892103;2.557683075;7.471175875;10.96409655;13.94659202;6.104857701;18.12014255
6.80185578;5.009786024;5.039995264;-3.653832989;17.6578343;-3.363822737;14.7289213;17.45746191;19.38786544;14.72143632;17.82629769;7.991228941;3.907987598;1.61195236;4.886151189;10.04025443;11.65886576;3.677257761;17.5
-5.032960401;-10.03442777;-4.207166894;-0.67889542;14.17976453;-1.807364378;13.80398326;7.131335268;11.45765648;10.19844906;10.03994687;5.211242913;-1.299092733;-1.490302102;-5.160465124;-1.774770817;4.085212312;-1.279938702;9.40587751
-16.60790866;-19.53734686;-8.656026849;5.027138928;11.34086505;0.557335189;7.62318844;-0.295675785;3.844904287;8.072736362;1.943993717;-1.375065002;-7.640121509;-4.385230249;-13.1362661;-18.09770958;-3.147533184;-5.649002183;0.220507199
-21.36483892;-15.79952697;-5.607858033;10.9729646;13.17616273;2.410173278;2.349986196;4.044583329;3.816771895;10.40510643;0.00490181;-5.855050858;-7.828227807;-5.097182965;-10.43434929;-27.06684579;-5.030149952;-6.31650748;-3.798517041
-18.2917844;-0.585997387;2.379603367;15.27951623;18.24215073;2.705196668;3.460904542;17.74015847;10.36495619;14.91266784;5.064979441;-5.049670127;-2.119607311;-3.637332663;2.858366273;-21.32210118;-1.46018848;-3.032675853;-1.692127138
-12.2050758;15.86672028;9.258490229;17.16363449;21.1387847;1.229490823;11.67927893;29.62965612;16.05774776;17.01056095;11.94161927;-0.674839605;2.830320786;-1.687263822;17.7092647;-4.525753031;3.182168267;1.292831937;2.221571084
-9.168208535;22.63824893;10.15593985;16.65065628;17.78675928;-1.271236344;22.26404024;30.1292786;14.34889923;13.78512599;14.06949001;2.84465972;0.803793711;-0.829378032;23.51700039;10.94419287;4.376905741;3.051007023;2.947706293
-11.24195981;16.35332456;5.089267044;14.13846933;9.482338463;-3.463813125;27.99078826;19.90014562;5.572410008;6.513744967;8.998348112;2.430123657;-8.030583907;-1.057268972;16.75336903;13.31144295;1.567192536;0.954983384;-0.510484632
-15.04513188;3.277151113;-1.283072781;10.3168882;2.012392772;-4.116853585;23.74539124;9.175528648;-3.460812392;-0.331844727;0.157887403;-1.383602017;-17.29321551;-0.937650191;3.594181844;0.426327116;-1.602826333;-2.967064035;-4.536930197
-15.10470915;-6.121898223;-3.573797374;6.297021245;0.648395437;-2.764337049;9.749235159;8.531050385;-5.500411905;-2.683397566;-6.279602289;-5.595929066;-20.13332524;0.78020664;-5.483207803;-18.39268098;-0.877808509;-5.180841942;-4.555701278
-8.886726144;-5.444756085;0.016021517;3.387074614;5.500397249;0.008754657;-8.550406354;19.39484279;0.958833654;-0.070809261;-6.514340765;-7.813115509;-15.1343676;3.640935371;-4.369354867;-28.93421167;4.600170064;-3.652777551;0.613986698
0.812765193;3.201172255;6.415343543;2.28804879;11.31164171;2.838029069;-23.72246197;32.6295625;10.55140125;4.124459355;-1.939975211;-8.306721817;-7.236165949;5.496430407;4.054552817;-22.05514541;11.43722445;0.470757136;7.620773567
7.974927654;11.74103426;10.2760807;2.282634087;11.82502365;4.296168863;-30.57916057;36.29475692;15.56951827;5.412225519;2.366716316;-9.355601173;-3.232148976;4.138566443;10.96610857;0.147099285;14.90021856;3.82929007;11.48914296
8.012888344;12.99353148;8.166935332;1.376177099;4.934280442;3.678551092;-28.7144136;25.74075873;12.04544398;1.633458966;1.889170534;-12.72036003;-6.102272627;-0.786573731;9.372465484;25.93607353;12.91014594;3.568454653;9.825724417
1.117557149;6.025239975;1.009605572;-2.268986;-5.681278819;1.409900896;-21.89073871;7.4077239;2.415547102;-5.557631834;-3.903238354;-17.64944024;-13.05441688;-7.175971298;-0.150333224;41.61832106;7.666000797;-0.420860148;4.659582744
-8.183348754;-4.017518609;-6.950579495;-8.500188228;-13.59359558;-1.185017021;-14.96549861;-6.610500392;-6.932947117;-12.08606172;-11.41954052;-21.1659571;-18.50404701;-11.6979001;-10.44105256;39.75651533;3.68502024;-5.450692526;0.555457791
-14.52540532;-10.75011724;-11.51559582;-14.55312921;-14.5776719;-2.637653685;-10.67439789;-8.250496135;-10.67525075;-14.39343081;-15.741433;-20.32317891;-18.89141693;-11.92393208;-14.23244488;22.74768397;4.128714542;-8.062201459;0.887731775
-15.29860969;-11.58168127;-11.46389519;-16.58515302;-9.394222651;-2.185138222;-8.520967744;0.8349528;-7.930998374;-11.64045425;-13.90043096;-14.51447337;-15.05654228;-7.807481307;-10.31250752;0.286497342;8.520667787;-6.470304635;5.478472035
-11.74865824;-8.90630822;-8.937832159;-12.57191999;-2.4749135;-0.206988807;-6.286808321;11.89876562;-1.786528077;-5.788029868;-6.343534232;-6.036866619;-10.56178604;-1.558210609;-4.131485973;-16.81736289;13.48846571;-1.647947388;11.27020908
-7.318588442;-7.119199161;-7.386026373;-4.382711302;1.906579291;2.016446147;-2.604909251;17.02804733;3.854192652;0.073217066;3.891640648;1.376169517;-8.093610384;3.807207139;-2.623579798;-22.37311325;15.51816547;3.51843709;14.97701755
-5.031365426;-8.597535384;-8.946754253;2.866588125;2.601005087;3.078790453;1.707691755;15.20300369;7.069022112;3.64667003;13.09500307;4.812929777;-7.439946376;6.122508131;-7.972386085;-17.14113283;13.26586854;6.144899032;15.23783895
-5.940687979;-12.14550643;-13.22017817;4.102140456;1.532673178;2.287559254;4.643173083;11.64284116;8.33167316;4.328906289;18.43823261;3.634114049;-6.574182247;4.930813464;-15.73585406;-7.278814062;7.783642788;4.931987565;12.72753588
-9.280058594;-14.74782119;-17.96930997;-2.047203803;1.297999976;0.068183147;5.246842962;11.90697916;8.953698031;2.885102917;18.63040711;-0.629632177;-4.26046258;1.302530421;-18.77665521;-0.419654013;1.055812906;0.553578341;8.779903582
-13.46367958;-14.49421751;-20.7902708;-12.03342611;2.886567596;-2.296506785;4.845555591;16.65931434;9.508393834;0.581811279;14.03622243;-5.508961515;-1.358452461;-2.944055888;-13.42705806;-1.600447446;-5.457173413;-5.02824386;4.256641653
-16.82015559;-11.88165548;-20.38415499;-19.71675323;5.387510867;-3.419647485;5.917108614;21.77489166;9.665400524;-1.481253345;6.641143594;-8.963839971;0.360742464;-6.04624279;-2.579963208;-10.86299635;-11.03952101;-9.618993945;-0.306595098
-17.78674512;-8.647396325;-16.79451163;-20.61126693;7.420979316;-2.6044342;9.548404857;23.09804243;9.161914703;-2.619911648;-0.320345747;-10.14272638;0.40119097;-6.859004686;6.749763144;-23.45801212;-14.99525801;-11.61336118;-3.88068981
-15.11675267;-5.732191273;-10.94576948;-14.87650665;8.530198647;-0.225545275;13.98274535;20.83038228;8.558743816;-2.605082763;-3.484539773;-9.388011269;0.247255995;-5.19471931;9.076404402;-32.4939913;-16.22365764;-10.41115043;-4.842569306
-8.541957932;-2.581187175;-4.150058594;-6.83;9.171474668;2.496626905;15.96933485;19.18823533;8.891962538;-1.673750959;-1.054626279;-7.753655385;1.71804251;-1.94386348;4.450875842;-32.75708212;-13.84867268;-6.521010322;-2.13251919
0.503206021;1.631291597;2.14081964;-1.486273911;9.60094914;4.173251062;13.99919348;21.78022144;10.63498391;-0.426414965;5.940818286;-6.370150182;4.64082647;1.179012329;-2.326508752;-23.66808569;-8.340058594;-1.391026319;3.351002601
9.011459065;6.351518879;6.556274871;-0.936112815;9.106109495;3.982778889;10.4032789;27.42527923;13.11191361;0.522283946;13.93896783;-5.91695817;6.384517226;2.373577426;-6.21254943;-9.565763742;-1.843056191;3.107594884;8.720278713
