Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-102.8581909;-90.26146556;-82.0413061;-28.63802276;-145.8323458;3.004484478;-177.6387651;-205.1628015;-159.2969683;-74.30068768;-139.2159916;-109.3113369;-195.0840273;-69.28234575;-62.5416285;-100.4163025;-112.4643518;-77.1124874;-123.3775118
-98.91667218;-95.46728448;-86.87980039;-23.90204322;-132.2424684;-1.035177527;-162.3996436;-183.6512633;-162.1040264;-82.18767737;-138.6947393;-102.9292673;-192.6865603;-63.29021256;-55.77923;-111.0449554;-104.1150007;-81.52257348;-115.659306
-60.39;-70.58853631;-67.13537255;-16.61105485;-76.13697561;-4.2983024;-87.25164271;-106.3335258;-116.4124176;-70.00868475;-99.13029951;-60.80754923;-125.2786937;-36.93694869;-32.32299254;-93.75706686;-58.0224412;-61.55656368;-66.90593463
-11.4673312;-31.99305172;-36.35793095;-11.26421413;-10.33021183;-5.166453529;6.234626075;-15.4711292;-53.4952201;-46.35028661;-44.86176356;-8.522713039;-36.33213619;-5.121830394;-3.926478447;-59.37519958;-2.102891812;-30.48276083;-7.615522427
19.60891533;-1.35808271;-12.38114516;-9.873857772;30.42379004;-3.430624383;69.49940854;45.43323137;-9.890866976;-24.15064558;-3.33597609;26.77940294;23.02499693;15.82620114;18.69147157;-24.97173511;32.7445057;-5.368648287;28.8269835
18.91054806;8.289312054;-5.984502121;-10.83897921;31.98480533;-0.448510394;77.79530618;57.08346453;-3.070930761;-12.37736248;12.85892688;33.9266927;28.43204377;18.75812805;31.82500381;-2.86837211;32.79929441;3.943205735;28.03361898
-5.943386453;-0.531015791;-15.21579011;-10.45454244;7.344742283;1.754892491;42.29564762;30.65467209;-22.71322226;-11.31360488;11.08766065;22.3347034;-4.908155197;9.101176068;38.84784433;5.180874799;8.267776808;-0.193473137;1.539182665
-33.87766114;-13.95098087;-28.6952402;-5.759503744;-16.2611395;1.818559801;-3.161143091;-6.345122616;-42.4493196;-14.2937;8.55264346;11.7348225;-38.83024325;-0.807545425;45.24947422;5.407506548;-17.14054736;-7.158420899;-24.90553895
-46.4795292;-17.85202905;-34.60169605;3.439954979;-18.48651448;-0.12242813;-28.37574616;-31.32993918;-41.46203624;-13.84007813;16.52429513;16.18240126;-43.2948831;-1.47706482;53.15602329;4.644093997;-24.67581315;-7.060856431;-31.35516773
-39.69553675;-7.296791589;-28.43308008;14.66734025;1.017453866;-2.649675196;-25.66223154;-38.89850629;-18.97858643;-7.226389512;31.95736771;34.76458885;-17.20962723;7.471419915;59.72782164;4.901098537;-12.77630206;2.308710497;-16.51482213
-23.33707696;11.9088531;-14.43968166;24.54181832;26.12834478;-4.09880431;-8.907404498;-37.53613168;8.233899704;2.432743664;42.36662805;54.94219157;15.6884759;18.73770317;60.32807047;3.944945167;5.133434266;15.33;5.061221302
-10.71368078;29.17584944;-0.908914976;30.63848044;39.48645776;-3.643715665;2.939344567;-37.13278499;21.31076147;9.601929693;38.50765709;64.13;29.73235804;24.37148262;53.43448611;0.124107267;13.68703083;24.28091067;17.07556945
-7.869931984;36.98340341;6.157884668;32.18747509;36.12942916;-1.699167025;2.382507758;-39.49375676;14.18159612;10.9068514;23.40856965;59.3762739;18.61838507;22.20562348;42.99859197;-3.962286891;8.007726949;25.68732599;14.44515894
-10.81017082;34.7652847;6.16047193;29.61326183;25.12370605;0.523623685;-3.256896941;-39.10395779;-3.53962991;7.184671987;10.17886648;47.88602048;-1.947803394;16.68337431;36.17759041;-2.842013001;-4.064759977;22.28529782;5.173280395
-11.50514697;27.14386264;2.385662708;23.85200182;19.60906455;1.8689969;-2.093243556;-31.30634948;-16.33496296;1.896657488;10.93672086;39.41529205;-10.39163302;14.12698279;38.15636275;6.558418293;-10.32646086;19.71328794;1.290285896
-6.215286695;19.38099661;-1.734527921;16.20326183;24.96236209;1.862772155;9.484390637;-18.88673802;-15.8063642;-2.118639075;26.55838485;37.98124964;1.240957924;17.01905196;48.11681044;20.78725068;-5.00490067;21.36386286;7.816106222
1.362855193;14.20061718;-5.048969569;8.535300604;35.16206071;0.773916544;23.25687139;-10.59321667;-6.099097027;-4.548865195;45.8157061;39.86697394;21.3305116;22.22007813;59.53919123;31.1536058;7.155582983;25.85053918;19.20358344
4.233367379;11.79265806;-8.239915385;3.059565962;39.45593312;-0.751574462;27.31670416;-13.21857723;1.638401878;-6.784846702;54.2927928;38.69203954;30.29454208;24.28316505;64.70569552;29.96227097;16.10836523;28.83;25.36957631
-0.973767397;11.57315927;-11.82912319;1.309097914;32.51183333;-2.0957272;17.6137205;-24.89567929;-0.231405415;-9.578800384;45.46095758;32.17130451;18.46367425;20.59810719;60.10170809;16.73827113;15.5915231;27.09837069;21.09100574
-10.83735453;13.17319272;-15.08657687;2.979494359;18.92415435;-2.844627752;2.063760825;-35.99470979;-9.708359383;-11.6389695;25.03139035;24.2923299;-5.696347226;13.75676669;48.74713868;-0.815257216;7.97400637;21.22309871;10.2996856
-18.41051976;15.75202284;-16.91673766;5.799717966;8.624035502;-2.771686292;-6.350937643;-37.00797787;-18.02886869;-10.56777924;5.742152057;21.27585782;-23.5981609;9.19444465;37.76490547;-12.18576016;1.143203938;14.62546737;1.980092773
-19.62606363;17.02225429;-17.54754838;6.909264959;7.900321565;-1.833630645;-0.98718773;-26.54538791;-18.09144856;-5.30275933;-2.451327253;25.36965744;-22.92921452;10.32920223;32.97558462;-11.66782582;0.859800799;10.267249;1.909098784
-16.88879984;13.86612983;-18.98342747;4.841944235;14.19459347;-0.276593348;12.86536536;-12.52909179;-10.68483205;2.185271164;1.242229503;32.24534334;-7.773350088;15.48123193;34.45968276;-2.357309262;5.611395946;8.036783899;7.74290358
-16.68724877;4.654557651;-23.46647796;0.465608546;18.96637948;1.285832534;22.9954605;-5.65792261;-3.447816678;7.566528217;9.801107305;34.30393613;5.937354524;19.18412737;36.34504236;6.401150937;8.286608347;5.059775772;11.50306879
-23.52870368;-8.748629353;-31.27393607;-4.036033055;15.60266903;2.045320507;21.11424327;-10.79709913;-4.158013146;6.817053968;15.07623257;26.9034139;4.854750342;16.7007874;31.0853631;5.909446885;2.779849694;-1.523074221;6.834631836
-35.69182875;-21.50933416;-39.99157648;-7.336097273;5.153585281;1.453464603;9.782168906;-23.46645555;-14.54565632;-1.149804193;13.60724064;12.1101095;-10.53839932;7.921671102;15.31014059;-5.961964416;-10.49381644;-11.83285782;-5.506415246
-46.49783551;-28.95663964;-46.13401165;-10.32738283;-4.955917844;-0.318809942;-0.49749736;-34.0067933;-29.6767285;-13.84195394;7.24630662;-3.049500537;-27.38748022;-2.517783679;-6.854906925;-23.94039176;-24.8642944;-22.87007813;-18.48298187
-49.83745655;-29.9098622;-47.82425322;-15.29032259;-7.654189722;-2.31538838;-1.011074307;-35.51365186;-42.65657968;-26.88759293;-0.539027059;-12.05403394;-32.51122338;-8.843912961;-25.47384551;-39.5413304;-32.89840969;-30.64596248;-24.74417087
-45.05878569;-27.3488695;-46.22889997;-23.44800988;-2.18235396;-3.292024065;7.548363175;-28.81449811;-49.96953241;-36.68519645;-8.266157525;-13.33867358;-23.80139348;-8.438144481;-30.63513134;-46.62915478;-32.18192687;-32.95877272;-22.31214535
-37.12473895;-25.77950718;-44.52703045;-33.12815942;5.813952889;-2.513527173;16.30858133;-20.74150652;-52.92141272;-42.1117736;-16.55196149;-10.29418058;-11.02570467;-3.445116072;-18.76043505;-44.37809909;-26.60374981;-30.65303638;-15.33015387
-32.24412542;-27.55545919;-45.36827944;-40.46590017;9.660809243;-0.303258954;16.88249409;-17.80329208;-54.72430427;-44.35734332;-25.42942276;-7.456564273;-6.073835859;1.299791378;4.704450982;-36.34303709;-22.53128187;-26.66683501;-9.865422206
-33.0182715;-31.35408601;-49.04439916;-42.41612598;7.333817224;2.082321075;9.396295986;-20.95743525;-56.70244086;-45.42280846;-32.4701891;-6.652519441;-12.08133765;2.074307887;28.03259388;-27.39593196;-23.56380124;-23.94961397;-8.923776995
-37.20680958;-34.04038302;-53.82454595;-39.61043633;2.405630795;3.217250974;2.509847418;-25.69279293;-57.37884289;-46.59652442;-34.2845239;-6.4091882;-21.31580449;-1.254067997;39.72698607;-21.22204597;-28.3010872;-23.92036262;-10.94723351
-40.70267761;-34.04217612;-57.86181563;-36.36429089;-0.152882344;2.408677353;5.354120415;-26.73439411;-54.94290733;-47.87374474;-30.17683418;-4.619996435;-23.2191655;-5.730969201;34.74366701;-19.6332546;-32.48460642;-26.28434;-12.45197774
-41.56520254;-32.96862378;-60.70098826;-37.36475187;0.968684324;0.132056361;18.61497561;-22.82219852;-50.15880862;-48.34523548;-24.06599883;-1.467179072;-14.61097294;-7.945952649;16.65111228;-22.96258674;-33.00956102;-29.76130437;-11.7143428
-41.33715227;-33.86882267;-62.97655458;-43.50616582;2.326875887;-2.280293224;32.8346443;-17.38843857;-46.43824049;-46.94034196;-22.02718619;0.395924463;-2.352152154;-6.465154717;-5.31297301;-30.21175584;-30.0942981;-32.79313525;-9.912896965
-42.72017863;-37.76205253;-64.80565779;-50.42822234;-0.50661818;-3.465794439;35.70344852;-14.89569197;-46.74513932;-42.9745238;-26.96754691;-1.406003626;3.892918961;-2.313712426;-22.01338503;-38.70168088;-26.08755026;-33.83662152;-9.026253465
-46.19639961;-41.87069122;-64.77370158;-51.38933198;-8.051467207;-2.821832224;22.2559664;-16.42871557;-50.28493168;-36.40742075;-35.101488;-5.994039027;1.704056901;2.401522692;-29.11551773;-44.26;-22.65327604;-31.60842092;-9.071529537
-49.08171667;-41.58015145;-60.88559334;-42.56882636;-15.69620676;-0.785035979;-0.686337197;-18.55895112;-52.37111254;-27.98086891;-37.88288866;-9.047420298;-1.118116343;6.219349583;-27.91957618;-42.89336556;-19.32605603;-25.71637638;-7.782484314
-48.03515021;-34.69628814;-52.84937336;-26.64981391;-17.50666974;1.50035997;-19.61889956;-16.39481109;-48.01278976;-19.25296604;-28.48947974;-5.91093918;5.970987752;8.971583977;-22.4871774;-33.37749008;-14.7176217;-17.4176943;-3.199947268
-42.62202281;-24.19863395;-43.48;-11.6027919;-11.69940414;2.84788625;-24.77254462;-8.012448648;-36.28064702;-12.28699691;-7.789737434;4.51157154;24.83724734;11.15280078;-15.79372009;-18.79354556;-8.848401448;-9.625918229;3.461493676
-36.38881639;-16.68483632;-37.47410276;-5.288015705;-2.741362773;2.616829827;-17.2919152;3.627965513;-21.62508421;-8.837392521;15.26316242;18.39912728;44.02528933;12.94502764;-7.980434255;-5.324160614;-3.954362604;-5.590854049;7.818225576
-34.14764112;-17.37162495;-38.06978472;-9.886089221;2.041419237;0.948745305;-7.51803758;12.86742032;-10.8754823;-9.344383606;29.48799737;29.43163237;46.1265264;13.90886704;2.245205325;1.353963782;-2.70919811;-6.819814367;5.692114568
-37.73280436;-25.68654757;-44.204647;-20.44351679;-1.435202662;-1.375819925;-6.164962417;15.69309912;-8.34990069;-12.45337047;29.17139585;33.10595793;21.83721251;13.51097069;14.71192003;-0.334930454;-5.48898932;-11.764374;-2.979365107
-44.07764099;-35.2747695;-50.72742097;-28.66523086;-10.47329464;-3.317455935;-15.81789443;12.60754726;-13.05960392;-15.61068661;17.70347208;29.59250824;-20.94843794;11.82069377;26.23920925;-6.95364085;-9.44163489;-16.53297049;-13.3594311
-47.54492763;-38.67425939;-51.87409446;-28.99950007;-17.73740265;-4.016301722;-29.47335627;7.812389925;-20.09354798;-16.54337686;4.581209714;23.08871154;-61.08100723;9.644002128;32.05732822;-12.56091371;-10.56180931;-17.41429177;-19.13439888
-44.68705684;-32.97609203;-45.47932257;-22.33186785;-17.31299775;-3.146591123;-36.75274498;5.625708347;-24.69547082;-14.68041584;-1.537468063;18.47216814;-78.59866645;8.005333704;29.19573768;-12.80304178;-7.147056762;-13.47439967;-17.48283239
-37.36627394;-21.88878707;-34.63084205;-14.60392712;-9.551272455;-1.075593026;-32.27124201;7.178983363;-25.47605467;-11.49102034;1.733485231;17.99988231;-68.48036302;7.519679032;19.04995974;-7.639938439;-1.575058774;-7.265379554;-11.41298685
-31.4694147;-12.59422095;-25.42765792;-11.72976295;-0.647609409;1.25980583;-19.41762669;9.932953044;-24.32861136;-9.453391935;10.26211858;20.38012985;-43.09958744;8.210979773;6.882610098;-0.956120141;1.315059213;-3.05998148;-7.417841064
-32.20331773;-10.10528737;-22.59869441;-14.99323325;2.586909492;2.765530349;-7.06153949;10.0873613;-23.72093871;-10.37224984;17.53849499;22.40165389;-21.96802308;9.802062709;-1.522539134;2.288742473;-1.997133318;-3.931521198;-10.34429539
-39.89058056;-13.81960534;-26.40273483;-20.4722786;-1.716180206;2.744175497;-2.504655829;5.716721048;-24.22766059;-14.23108959;19.22479988;21.40930066;-17.36256137;12.0301863;-3.495646465;-0.89100835;-10.91402933;-9.862516273;-19.69301734
-49.75683046;-18.94211206;-33.08947973;-22.62397197;-9.196584541;1.302230637;-6.520629693;-1.819778168;-24.56211089;-19.32502367;14.74111829;16.73425626;-27.03323308;14.61262593;-0.603701342;-10.18818622;-21.19837237;-18.17556232;-30.26580879
-55.80774426;-21.22183644;-38.25407897;-18.86623231;-13.11821552;-0.664441936;-13.93909849;-9.017323016;-23.72908533;-23.4486342;5.813793117;9.511503536;-38.69399177;16.97798001;3.454084143;-22.68275821;-28.203283;-25.70050727;-36.36061941
-55.48671186;-20.6937859;-40.1586596;-11.45366661;-9.939413233;-1.960750379;-18.44649221;-12.73490497;-22.82974521;-25.19795443;-5.449709295;1.697593249;-41.30691614;18.22642033;6.215897773;-34.4124631;-30.05223364;-30.804117;-35.85187224
-51.2794632;-21.17857829;-40.36765;-5.407584895;-1.958277482;-1.799048726;-17.2456056;-12.10182129;-24.45531847;-24.51166142;-16.79832709;-4.668774805;-33.41819636;17.58310255;8.133649014;-41.69462139;-28.2124772;-33.74395634;-30.89779206
-48.13871923;-26.15574968;-41.49315796;-4.501708509;4.913343305;-0.284267766;-12.10087574;-8.630463283;-30.05115067;-22.27367381;-24.88098612;-7.741494304;-22.41597527;15.04906269;11.16291091;-41.98796143;-25.34141324;-35.38236013;-25.15553584
-49.12229581;-34.85324523;-44.2933716;-8.630991726;6.075052548;1.647338237;-6.765322705;-4.806360003;-37.75507109;-19.49210747;-25.47122835;-6.211624583;-16.75414378;11.62441294;15.69107479;-34.71223936;-22.64800138;-35.68929889;-20.36926779
-52.96481952;-42.16448209;-46.73815943;-14.40177792;1.672478484;2.808300131;-3.605515266;-2.364585875;-42.98141869;-16.72170356;-16.17584854;-0.067524779;-18.66957653;8.77020306;18.859783;-22.03666335;-19.20324982;-33.48890863;-15.42693416
