Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
74.85628079;64.49974724;48.98369136;-6.168428401;78.5801744;0.973399276;107.1237628;89.36067038;58.12729434;28.57539263;76.7845905;63.96376682;125.0829968;35.74945047;44.51772987;63.80518116;82.47162697;50.71168994;85.81850422
69.33367773;54.38796794;41.82158949;-2.033677334;66.27520371;1.962159692;82.25425121;59.16912234;53.72963118;28.01156975;74.73160495;35.80335071;105.3440059;22.31917357;24.66638129;49.22489058;64.61889872;36.02587607;66.67946733
36.69515155;23.29431648;17.67157588;-2.393062416;27.87932108;2.31830878;25.26491049;2.709671645;23.19658643;15.9510109;33.14509207;-13.71979029;52.57126465;-3.217484664;-9.217569233;15.33416524;22.4181021;5.295679681;21.78179661
-1.704405102;-11.3838807;-9.768135179;-6.422269611;-12.22315797;1.953944618;-28.39007813;-47.33140639;-11.98790493;0.707303091;-20.19658608;-58.13135374;0.107916618;-27.59952606;-41.64723185;-19.44280551;-21.27188903;-25.75457191;-23.34895482
-22.71430407;-31.36930661;-26.03960125;-11.13854886;-30.87077938;1.453846023;-48.76539958;-64.67543471;-28.85516104;-8.054481642;-51.52;-74.61255955;-22.58157137;-39.48198095;-58.94959191;-39.08603779;-45.10676935;-42.24692912;-45.14838917
-17.00691302;-29.63580829;-25.30240603;-13.12666563;-21.59413988;1.534823215;-31.43460247;-46.45901314;-18.67264764;-5.829014255;-44.07869634;-58.79789627;-9.219586964;-36.47544429;-57.37839594;-39.85826439;-42.71822699;-39.50095271;-37.1292257
6.1570729;-13.81920443;-12.88417584;-10.45710884;2.834520976;2.336088643;2.498816348;-12.71550392;8.475412626;4.32466922;-7.801134037;-26.08098875;21.97920312;-25.5143005;-44.34786036;-30.46976056;-24.76705226;-24.80532587;-12.16535534
27.70363082;1.026078207;0.230029297;-3.757936627;21.7492352;3.179776163;24.88827405;10.31669187;32.8066801;14.93886319;30.19909923;0.856142502;44.65514253;-16.7970098;-32.18793185;-23.4157002;-9.05628545;-10.86987531;8.841774101
33.4518385;4.198687035;6.100460252;4.145147774;22.3318624;3.066312315;21.98959407;9.544912603;39.78649202;20.01900562;45.72786656;8.226349101;44.52107997;-16.24980055;-29.0121403;-24.94847693;-6.994714231;-6.351879646;12.59593255
23.33153565;-3.467977868;4.919850272;9.833618015;7.672347078;1.54455382;2.298771253;-7.662993388;29.32681418;19.00070048;32.94342177;-1.170426494;27.76802725;-22.14223813;-33.18458776;-31.4425827;-16.66400518;-10.58054053;1.543573762
8.923101478;-11.97333386;3.13063181;11.24138536;-8.039770808;-0.75678446;-13.74243671;-22.55159922;13.15080627;16.05905885;5.010097656;-13.50738646;12.57136605;-27.8408084;-35.21481502;-34.11631651;-26.77548314;-15.84309192;-10.64013493
2.667721601;-11.32449497;6.952986218;8.78800801;-12.04552725;-2.422566633;-12.02728338;-21.6657857;3.920019531;15.92272974;-18.15143982;-16.85623025;12.45856582;-27.83625204;-25.62067255;-27.26954535;-27.10330619;-14.59309515;-11.34112941
8.115486556;0.251111882;17.017155;4.988212577;-2.705343875;-2.213224499;4.446363542;-7.130918179;5.61470544;19.93140249;-24.18278228;-10.41874126;25.9370646;-21.98975383;-3.074687897;-12.93821576;-16.53866296;-5.500872269;1.198763584
18.64174403;15.41132676;28.26627023;2.766151395;10.84172607;0.006954266;20.21656896;7.092818094;12.42981828;25.42213668;-14.27673862;-3.114542429;40.12333829;-14.90887896;23.10548317;1.398582935;-2.823385593;6.148830592;17.78756679
24.45769287;24.17830595;34.5907157;3.566909185;17.51517696;3.084323166;21.93753449;8.483256466;15.69137437;28.47343203;1.450423928;-3.980102525;43.56065647;-11.56470571;38.18143886;9.298746842;4.709854278;13.28787194;26.72723876
21.12627782;21.99834982;33.86573306;6.529403089;13.49132598;5.296353187;9.716378819;-3.238423434;11.87351278;27.30315137;13.18472737;-13.4320412;35.98749984;-13.14017374;31.62428255;10.06977613;2.667683302;12.65168701;23.08133772
12.42686343;12.81703244;29.19119918;9.274011283;4.271070174;5.46801581;-4.081504105;-16.71835692;4.841220941;23.41969641;17.24065815;-22.95532552;26.5799373;-16.46427088;4.651038611;7.936160183;-4.696810913;6.613173292;11.35839391
5.952762626;5.140416645;25.7054713;9.718217152;-1.202163491;3.693469141;-6.478933373;-19.59419916;1.231299472;19.86415827;15.24839884;-22.99151989;23.22727377;-17.09130091;-29.62455624;7.109277841;-10.17918001;0.344817049;0.418085478
6.086515617;4.843459578;26.08709725;7.587428165;1.451753871;1.186331229;4.817645631;-9.287173886;3.927601199;18.42050662;9.772486727;-11.70824206;23.59446592;-13.08658285;-53.8443192;7.694609818;-9.951405969;-2.701457506;-4.142735514
10.67096367;10.76453744;28.63603061;4.516291433;8.869398235;-0.573826002;20.15780855;5.350019531;9.684823158;18.32384643;1.650087891;3.077667372;16.81284134;-6.326215875;-56.98472502;6.171565606;-6.001776628;-3.037114008;-3.508092705
13.81721424;16.33693922;29.26058265;2.695569797;13.73124719;-0.758018716;27.08037323;12.33456309;12.62712139;17.39473992;-8.740851535;10.29995409;-5.450058594;-0.550303362;-40.89371329;-0.334161221;-3.169763185;-3.605273937;-2.770425924
11.70143674;15.34574634;25.26041587;3.114946929;11.52342645;0.439910947;21.20456756;6.941039962;9.881318443;14.28585566;-18.74068047;4.635619386;-38.81511935;1.782198481;-18.44804782;-10.33551356;-4.125393169;-6.421530779;-5.140551285
5.878997706;6.772856273;17.49091932;4.740877277;4.140959994;2.12159151;9.305702691;-4.98160013;3.957911375;9.678374152;-23.20634604;-9.588351215;-66.89325795;1.025289362;-4.649189989;-18.57030451;-7.083967384;-10.69301083;-8.852043458
1.337155345;-5.027277099;9.247653116;5.234079879;-2.472577903;3.345525548;2.439037184;-13.12626889;-0.124469849;5.442191318;-18.02284561;-22.55859364;-73.34617807;-0.804365882;-6.789010043;-20.51459088;-8.102182622;-13.99853161;-9.3649821
