Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-45.11255806;-28.32165163;-22.35809195;4.867222887;-53.37040196;-4.102727796;-59.07233376;-71.61578715;-58.11551385;3.848564483;-44.62414977;-29.05496733;-57.17878667;-15.77578487;-9.202436715;-23.08283382;-30.2049611;-23.64533427;-37.92531254
-45.91534884;-30.29049571;-21.02170287;5.27386868;-61.61936758;-3.697907168;-62.92420361;-82.89254541;-65.05733699;2.132729106;-61.50156714;-41.39729567;-86.469369;-23.11926417;-32.50019555;-44.73218627;-38.19376057;-30.58204634;-46.59444728
-33.46533102;-24.08835245;-13.22981282;4.826932316;-50.53915633;-2.788130604;-42.59350863;-67.3554847;-47.25301319;2.278147927;-52.23271038;-34.93550302;-91.146744;-18.61994299;-39.45282813;-50.82349166;-29.96185566;-27.04033345;-36.33442945
-14.04091852;-11.60276095;-3.248226947;4.370216467;-25.45229277;-1.834020895;-8.223561363;-33.04125576;-15.9595428;4.738516648;-24.90766316;-15.2848567;-71.22165545;-6.161258214;-27.09769769;-39.64228043;-10.56670027;-16.47661829;-12.54424243
2.125653596;2.002213485;3.655466171;4.328041761;0.743794577;-0.876678852;21.63953233;1.56576565;11.02570881;8.383015473;4.335169857;4.998560005;-41.03054405;5.776963157;-5.735520967;-19.94892561;8.670814444;-5.705880701;12.33855681
7.608096658;10.98457053;4.929898864;4.62615163;16.07729611;0.296162425;32.35768795;19.74382232;20.43085944;10.93821412;20.97881034;14.58914789;-19.5631861;10.01103283;8.247256359;-4.64130735;17.72290613;-0.244799009;26.86890878
2.3807617;12.24347476;2.17637753;5.071670066;16.81273606;1.725537703;22.80982323;16.82859782;10.50460141;10.37819247;19.28355311;10.11074387;-17.8693069;5.292552105;4.549545464;-1.839786346;14.07585371;-0.976319815;27.3412143
-7.025739969;6.935276556;-0.645256957;5.679872124;8.524356819;3.019040798;5.182379479;1.606265884;-10.27490534;6.256971389;2.979491304;-3.075226693;-32.5623473;-3.538317353;-13.29657913;-9.971520668;3.300118016;-4.398317932;18.71202147
-12.87332346;-0.560444647;-0.588700252;6.553296832;0.734030842;3.521228914;-4.786909081;-11.43484017;-30.71288682;-0.034078043;-19.43960222;-15.90307546;-49.81605294;-9.665626469;-30.7994231;-20.14036471;-5.955259803;-5.91867225;9.683144832
-11.74936823;-5.467768857;2.174966708;7.476880867;-0.346242576;2.809309414;0.364424255;-12.68168055;-44.46336092;-6.244660975;-40.42643127;-22.17672545;-56.3657536;-9.322751064;-33.81709866;-23.40839519;-8.352783733;-3.401385469;6.169357932
