Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-18.90238534;-11.45848998;-9.290219979;-12.96398979;-21.54813974;-7.729991256;22.20636366;-18.70640289;-49.69367895;-24.66071004;-61.99189056;-27.82007813;-23.77046463;-17.38645108;-14.72581964;-14.97824154;-22.80878041;-21.33056812;-18.175663
-22.92408312;-16.54210744;-5.114104792;-18.79065185;-21.90231286;-10.01440203;48.66;-20.98394105;-29.5294844;-30.40033507;-26.58948122;-33.16538624;-19.69543394;-16.03838155;-17.26555875;-15.07279623;-18.99068998;-25.24756568;-20.33255704
-19.45795636;-14.33524572;3.77685369;-13.98515608;-15.26380723;-7.670279588;62.31191644;-13.91043015;-2.970039063;-25.12135213;16.17209571;-27.12056112;-8.738548835;-10.42596653;-11.40145322;-12.11271525;-11.27012346;-21.34752451;-16.6190478
-9.41596921;-4.463832517;13.76780978;-2.114907607;-5.03273101;-2.382935408;51.66766911;-2.714999831;7.503225237;-13.06979345;38.56942122;-13.6853379;1.527503652;-4.641569314;-1.473555366;-7.852749424;-3.069973082;-10.42272985;-8.66173472
1.982876891;8.346833506;20.45155872;9.033761013;3.299405788;2.438303449;22.66050442;5.398593879;-6.763391323;-2.411852573;29.6080883;-0.920518629;4.906917025;-2.610522042;4.208658289;-4.537252212;1.749768389;2.454950011;-0.826812189
8.876316853;17.57565847;21.57560043;12.9474091;5.910058594;4.090971061;-5.421258331;6.24567853;-34.88598368;0.762382607;1.315121127;4.684736778;0.743482254;-5.355569697;-0.008063635;-3.447871049;1.378562649;11.19568538;2.853039066
8.795229282;19.40429309;18.4437395;8.561286423;3.098917255;2.350468674;-14.22364804;1.175732949;-55.98674907;-3.458577621;-22.56893092;2.254278431;-6.301465029;-10.54802076;-12.69403666;-4.32188544;-2.929509316;12.61186305;1.371334294
4.024530755;15.02051455;14.71535387;0.280939681;-1.314744492;-0.680383706;0.151309243;-4.563436663;-55.80606117;-9.567797043;-25.56063758;-3.781453218;-10.32237075;-14.50077352;-26.40381114;-5.855815011;-7.948735661;8.176216681;-2.897812861
-0.589392075;9.156905131;13.56576125;-5.736505903;-3.044470168;-2.384063407;24.61316079;-6.065632094;-37.02883339;-11.32194524;-9.725951577;-7.68389485;-8.659462439;-14.90050558;-33.07316232;-6.701377019;-10.74171248;2.467149543;-6.26747132
-1.471164364;6.267128564;15.43790767;-5.959059782;-0.427064086;-1.60530545;39.12923425;-2.214487188;-15.68205465;-6.447123121;8.890078125;-6.744413487;-3.34655044;-12.1730959;-29.40139852;-6.167170202;-10.38036952;-0.338144885;-6.482046031
1.276432807;7.447095207;18.0945686;-1.328890664;4.729910761;0.70844715;31.40685082;4.149371319;-7.469135981;2.224728893;15.50187976;-2.664981756;1.255464085;-8.636923773;-18.3452627;-4.282869874;-8.004790543;0.805130743;-4.036379347
4.608646953;10.34638226;18.79540269;4.316968087;8.950210052;2.543511692;5.220886354;9.05536483;-15.62863163;9.662637007;8.928609358;0.721889305;2.340360645;-6.392569226;-6.212479209;-1.461980083;-5.465879991;3.770170162;-1.266161864
5.501430021;11.73849504;16.72254439;7.504257078;9.897650705;2.543221467;-23.1944137;10.63217466;-29.80635651;12.83007813;0.81966477;1.160224223;0.7818873;-5.75800553;1.870078125;1.79838815;-3.816045513;5.583024457;-0.207629235
