Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-28.83760471;-38.00590661;-43.66425812;-48.06051016;-51.56277406;19.70302227;128.5288793;-3.764048703;-51.72464841;-1.660281522;-37.59468339;39.17138019;72.32055476;-34.74072176;5.597562559;11.57772589;52.39064278;-58.92680824;-2.546069074
-13.41239714;-25.46273631;-29.21663738;-39.24835917;-34.31943652;16.11719262;79.51251288;-3.00177376;-43.25738893;-5.015620539;-35.08120972;23.96406093;46.48465113;-21.79988739;2.416517807;6.828358269;39.04464425;-35.80843051;0.247634279
2.586339166;-8.954519882;-9.187666523;-25.37647195;-9.092147746;6.961965616;14.21122074;-0.120140156;-17.13525904;-5.636466822;-16.95678792;3.716874995;7.221752841;-1.18857688;0.479418155;1.856994405;14.63106836;-2.973960756;1.672978554
12.27743306;3.908703729;6.701665591;-12.83450845;9.875718891;-2.210279655;-33.27749856;3.713059596;10.25091833;-3.085479086;4.204306679;-11.56420622;-22.37565493;14.82048924;-0.163585494;0.32665907;-5.940942064;21.742518;1.148356763
13.07300917;8.148601374;12.02727392;-5.529290369;13.84687654;-6.448480521;-44.090954;6.790762458;24.18475637;0.832915012;16.17088003;-16.02224952;-28.13502866;18.37889987;-0.334605082;2.398036877;-12.22302942;27.16335183;-0.523326453
7.706912534;3.94395387;7.137000573;-3.237815417;4.743093774;-4.611323095;-24.52072176;7.851037279;20.79379281;3.330445206;14.80635212;-11.13128053;-13.49024862;10.76551252;-1.277792464;4.869549561;-4.700670461;15.03836999;-1.88708461
1.739666729;-4.240912002;-2.031392462;-2.881327924;-7.457614015;0.354317359;2.009962091;6.811358877;7.878063743;2.738436357;5.370641518;-3.555075651;5.216457776;0.305325831;-3.801119554;4.058392285;7.088479577;-2.953437935;-1.969299122
-0.410503229;-10.97974212;-8.543863355;-1.466203025;-12.60593329;4.038451471;13.56492401;4.7601572;-2.392011184;-0.179404993;-2.844655831;0.305462119;12.29193421;-4.385397515;-7.397667743;-0.976128445;12.71314282;-14.47375086;-0.924894362
1.963073303;-13.21384991;-8.974064873;1.593598867;-7.403733106;3.907476911;4.478023665;3.230535283;-2.735397222;-2.754406449;-3.827839134;-1.21883935;4.140581343;-0.471835283;-10.08015936;-7.492331577;8.598209395;-14.83007813;0.244463567
6.236111529;-11.47392368;-4.775850538;4.37409107;3.38854953;0.81750714;-13.87822416;3.274031911;5.03533077;-2.385771736;1.541630978;-4.754904205;-9.877121749;8.031971633;-9.38417862;-11.13704847;-0.447471052;-8.557515996;0.586311753
