Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
14.60630133;14.43226285;28.22502464;14.75715619;57.22730854;-32.49413885;-63.24675729;-32.89864739;73.50943941;-50.45880765;71.55568584;-45.41391165;-172.0225032;55.46829806;-2.905338149;-19.14884523;-109.8822726;62.00656126;-4.654887036
5.374850653;7.873143816;20.23012759;6.535297867;51.3677218;-33.92822722;-28.39309684;-32.30845087;66.07348805;-46.29690995;58.85371348;-51.29603829;-146.6984837;51.32510255;-14.88655209;-14.52106347;-105.1492058;47.90427345;-9.779240164
-8.148411397;-1.840530768;1.583958424;-1.827474903;24.46514155;-21.56748728;18.24425437;-19.50556734;33.36833908;-22.5699119;16.46944605;-47.12476748;-67.45850088;25.04058124;-19.91041222;-8.784008696;-61.51545412;11.99837563;-10.49697336
-18.37788831;-10.7213061;-16.50038056;-4.448445663;-5.489840406;-3.223869791;50.80632695;-1.460522692;-4.944412415;6.62749378;-32.52160262;-39.24104104;20.09011843;-7.234832788;-17.75169674;-8.939258547;-7.064838541;-26.71183677;-6.598925944
-19.86453737;-14.75782238;-23.52604242;0.33336067;-20.06378322;10.15302483;53.38615054;12.2083804;-27.55187319;25.07766094;-62.63973311;-35.02944762;69.52272083;-27.48886777;-13.01140644;-17.42854317;25.69810254;-48.58203909;-0.837822589
-13.17344243;-12.87312142;-17.07614704;8.594313183;-13.16386127;12.06270192;30.55654567;15.5967648;-25.93476992;25.3066948;-63.03124087;-37.70281652;64.05928964;-27.92065239;-11.26014634;-30.59624571;22.02611313;-46.39837637;3.119417828
-4.085794403;-7.590248741;-3.787291683;14.0234122;5.963618328;4.387378134;2.768362717;9.857088175;-8.722365539;12.62070772;-43.11855847;-44.56190181;23.97898486;-14.78167422;-14.61451749;-41.37015204;-6.860984807;-28.86917049;3.272613654
1.02249531;-3.039378086;6.350200078;13.08468626;21.14323952;-4.980392193;-9.359380123;1.380123038;6.536295421;-0.192885643;-23.52824665;-49.77363888;-12.5218207;-1.892088164;-20.35843112;-44.21122505;-34.73276822;-12.65007813;0.472011264
-0.157617342;-1.935107139;7.541551554;7.839714352;21.89352397;-8.566828963;0.404208403;-3.395097244;7.033892471;-2.921277166;-20.17979801;-49.19478696;-18.62179428;0.402447256;-23.52378796;-38.73925413;-40.93654219;-9.603349914;-2.564777239
-4.74076868;-3.818999882;1.729977145;4.053778517;10.34048393;-4.651568191;21.23134128;-2.422578049;-6.902387998;5.079373729;-33.92991041;-43.38498243;4.184951028;-7.83917372;-21.03539478;-29.49433812;-24.46079558;-19.03716057;-3.480233868
-7.605395063;-5.782057175;-4.124146905;6.186214923;-2.287486123;2.379766645;35.46976265;1.406963917;-24.41011787;15.84013996;-52.83293444;-36.68365313;32.48930889;-18.03415506;-13.94295635;-22.23996652;-1.590643759;-30.15739585;-1.95487083
-5.735204527;-4.961800565;-4.217980412;13.51667699;-5.753673957;6.369768522;32.88360716;3.475840698;-34.37844865;20.09881073;-63.73115606;-33.49611733;42.82204405;-21.21558296;-6.179391781;-19.77034688;9.243534622;-31.81501717;0.375334004
-0.383677975;-0.828028491;1.67726846;20.70647643;1.160438849;4.510019531;17.64475172;1.394848715;-34.47147144;14.65823926;-63.03444941;-35.0193643;30.14906146;-15.30655843;-1.32757617;-20.39181871;2.242628024;-21.36302845;1.493588044
4.434129186;4.454079616;8.814987902;22.32731401;10.85946637;-0.865182462;3.390664549;-3.511469907;-31.88728048;4.062612364;-58.31450664;-38.94483805;9.061282835;-5.888963025;-0.320167941;-20.01388111;-12.9083265;-5.900363837;0.662436861
5.519941307;7.759003071;11.98228116;17.51166894;14.29394826;-4.849738694;1.385453951;-8.020740801;-36.19265861;-4.064447414;-60.56215298;-41.98845606;-0.968226183;-0.64556063;-1.730244442;-15.93422187;-20.99773522;4.280865903;-1.155360081
3.011615349;7.425738882;9.792363631;10.77173771;8.687077998;-4.32115759;11.78397876;-10.14297614;-50.91507544;-5.545203944;-74.45514404;-42.78939402;7.656061881;-2.738631125;-3.745975935;-9.19050954;-14.56456134;4.123123457;-2.30668522
-0.11369224;4.511645764;5.285903477;8.28719412;-0.787827164;-0.320032959;24.63389385;-10.68702365;-70.86927723;-2.506712766;-94.7769216;-42.67895371;25.76992644;-8.693124925;-5.557113226;-3.664320986;0.710041504;-2.736653095;-1.902370692
-0.827274021;1.969100284;2.805653049;12.7969747;-6.150869687;3.299416435;28.89941033;-12.01711374;-86.77857301;-0.597418668;-111.2260772;-43.90313609;37.05072996;-12.07107264;-6.910353313;-2.810215704;12.10356369;-7.763540678;-0.470292682
1.434960532;2.422080626;4.212549087;21.38259977;-3.576914603;3.435319063;21.5358457;-15.34677843;-92.62564074;-3.46801986;-116.7593734;-47.15219737;32.51241033;-9.292079979;-6.820103837;-6.749690381;11.20076658;-4.900453461;0.648721198
4.613530337;6.231730495;7.715435309;27.94420831;3.877802644;0.302631374;9.323182717;-19.18250607;-89.46609915;-9.487287237;-112.2856272;-50.73454529;17.30958103;-2.505548749;-3.48257915;-12.06751869;0.492365932;4.677980154;0.525764584
6.111960073;11.26364421;9.994881352;28.19848801;9.66542702;-3.07701897;2.634748306;-20.42448794;-83.12103243;-13.38724454;-104.4046562;-52.11390255;5.011126739;2.651223895;3.851732582;-14.40354478;-9.833500419;14.00590108;-0.605711081
5.108302354;14.46981317;9.385851044;22.96369843;9.723878346;-3.740407361;6.852267131;-17.19852158;-78.57718644;-11.12252848;-99.06652791;-50.33704071;5.464266476;2.09181159;12.70867329;-11.7210435;-11.22754686;16.29253207;-1.664993236
3.063543754;14.07457217;7.186456613;17.06142492;5.607868188;-1.339627752;18.46937675;-10.89095735;-76.29909267;-3.548774324;-97.05404371;-47.07940757;17.07182808;-3.355603583;17.59425137;-5.704358405;-3.730068359;10.29974977;-1.736320741
2.152650914;10.7720261;6.100163918;14.95561326;2.315602836;1.782129074;28.48086443;-5.4806414;-73.28826169;4.250105634;-94.82927256;-45.29838327;29.44405102;-8.95036717;13.48780893;-0.327813684;5.13718472;0.94848632;-0.846857588
3.201996249;7.131401803;7.483416768;16.98673309;3.249954378;2.855437399;29.60442725;-4.561476774;-67.1666674;7.276939283;-89.14369986;-46.64413613;33.02989753;-10.2118603;0.340716323;1.135150507;7.768522238;-4.870212887;0.139805056
5.039966941;5.731211272;10.04364698;19.42231667;7.125780964;1.138304354;21.28081163;-8.448867412;-59.04680629;4.77125178;-80.66318973;-49.90923401;26.84606513;-6.520058594;-15.36638692;-1.682653762;3.121870828;-3.543334565;0.347954037
5.765754829;7.412883338;11.14968832;18.14894618;9.540428377;-1.591276217;8.954652015;-13.76310654;-52.53108931;0.666055994;-73.2899146;-51.91405609;18.04929006;-1.216791853;-24.15906651;-6.350918064;-3.135099838;3.103729185;-0.342855288
4.660311679;10.85754006;9.444202297;12.65133152;7.49315262;-2.786630651;-0.849302527;-15.89007813;-50.07954164;0.086234835;-70.1784662;-50.11703619;14.74142815;1.530466267;-20.21031294;-9.695788454;-4.519185533;9.974876378;-1.251888424
2.918716139;13.65217465;6.264941438;6.706839844;2.478794312;-1.431109008;-5.076884572;-12.40462476;-50.4514122;4.970418839;-70.50060229;-44.74869495;18.98411878;0.17619367;-6.074964965;-10.03614281;0.12344951;12.90626669;-1.557734602
2.516713678;13.94140431;4.514391624;5.125339381;-0.773429756;1.17182378;-4.88396067;-4.803327874;-49.76129803;12.50363033;-70.10324559;-38.67252644;25.95799196;-3.316050617;8.554339994;-7.96889234;5.818795184;11.35155539;-1.03342729
4.260697167;11.44647964;5.976921384;9.350158926;1.255815783;2.707752887;-2.921640783;2.713553178;-45.1517585;17.53931505;-65.39741529;-35.10011995;29.16425847;-5.566862823;13.62616474;-5.421599278;6.429542022;7.74188648;-0.20430743
6.82951561;7.245264582;9.515017335;15.78925798;7.37822189;1.963507109;-0.374336931;6.346260799;-37.57161056;16.82968314;-56.77082015;-35.0712211;26.3354552;-4.740889544;6.072420577;-4.032326818;0.548370045;4.669526547;0.170093384
7.73400069;2.705059384;11.81363433;18.45910628;12.42550692;-0.177710829;3.469396889;5.251687564;-30.99259605;11.52055738;-48.32;-36.75540808;20.77761231;-1.799904496;-7.970992281;-4.194338786;-7.135284019;2.638805175;-0.213709245
5.409036554;-1.454301401;10.09714827;13.85381178;11.64946873;-1.668171059;9.214927395;1.725002965;-28.74840056;6.009946085;-44.16457648;-37.0713601;17.5615475;0.752597035;-17.85605099;-5.278441757;-10.11794053;0.217971801;-0.963375382
0.641432473;-5.240619603;4.518309416;4.020969968;4.918673078;-1.205061131;15.44510813;-0.860574867;-30.38227313;4.357288984;-44.75052502;-34.21456539;18.63165875;1.206402997;-16.38126191;-6.490228871;-5.969846668;-3.913905093;-1.385050506
-3.898974431;-8.707626062;-1.796171914;-4.740572942;-3.004830794;0.645170938;19.14755529;-0.559815424;-31.93888989;7.308028152;-46.50283089;-29.02369837;21.36386528;-0.084892459;-4.830678517;-7.456872987;1.542273172;-9.14794212;-1.121409529
-5.641266342;-11.28381912;-5.064894756;-6.567431371;-6.368629697;2.069794347;18.25574354;2.088206295;-29.47218504;12.21429988;-45.06737528;-24.17608056;21.44258426;-1.406480328;8.646685031;-8.145682314;5.913663694;-13.06899857;-0.450424522
-3.975714114;-11.85120758;-3.614826495;-0.377262114;-3.125777719;1.727825568;13.85163238;4.98196011;-22.59298415;15.56342139;-39.13646666;-22.0109377;16.92940546;-1.406458234;15.66535197;-8.472560607;3.69422646;-13.36250252;0.001244419
-0.531067473;-9.612888412;1.090627471;9.510301563;3.589917904;-0.037225278;9.749932733;6.305465652;-14.84608416;15.75892401;-31.42284532;-22.80942225;9.749711005;-0.135727842;13.71578917;-8.204921497;-2.616689705;-9.764581958;-0.159941805
2.226032292;-5.029671807;5.797424139;16.80764071;8.349625864;-1.560431082;9.568765399;5.73301187;-10.59071215;13.89687578;-26.04178093;-24.83444577;3.71903619;1.405147797;7.008979315;-7.323630964;-7.050705811;-4.368567408;-0.754568579
2.811823478;0.049050599;7.892904437;17.88297044;8.045974901;-1.402509957;13.750449;4.225950272;-11.20830794;12.23501285;-24.82514439;-25.90974192;1.519462304;2.492543387;1.904897163;-6.400180366;-5.637741337;-0.102437873;-1.223224363
1.509548589;3.328945507;6.948596566;13.95090516;4.245998193;0.355796047;19.15003906;2.931282301;-14.02021318;12.02027902;-25.93937789;-25.1230325;3.522245758;3.306648228;1.230339577;-6.430274496;0.095219076;1.269823879;-1.15015519
-0.320168985;3.476713571;4.386938803;9.365423204;1.419558191;2.222233216;21.61584104;2.311229499;-14.80132654;12.64969377;-25.92420185;-23.3059588;8.891286599;4.357281372;2.386149173;-8.087745586;4.624086374;0.010624876;-0.629879128
-1.579601655;0.951378281;1.929870906;7.721945292;2.81604051;2.653316251;19.41010159;2.179176202;-11.53440761;12.70515444;-23.08024955;-22.08035657;16.8322574;5.445622617;0.567309684;-11.01038803;3.42257937;-2.358395086;-0.155498897
-2.199030195;-2.377458675;0.32526166;9.055158852;7.678569624;1.406282582;14.62215677;2.350654828;-6.005691708;11.6566999;-18.96978027;-22.42087212;25.97463309;5.432235622;-6.093618051;-13.83429705;-3.072659601;-4.541200861;-0.153684293
-2.805923156;-4.547316315;-0.715551818;10.26168821;12.1090469;-0.313761019;11.4555323;3.078433057;-1.892551672;10.54099103;-16.66917376;-23.92741089;32.54354362;3.269047768;-14.19707156;-15.09048481;-9.953326991;-6.30095233;-0.602827122
-3.841487472;-4.779256891;-1.69586564;8.120438995;12.59975503;-0.982601616;12.86821671;4.776153659;-1.21416917;11.0138224;-17.51258757;-25.25874812;30.21928861;-0.607721788;-17.67;-14.28847875;-12.15265252;-8.059094412;-1.074481199
-5.0915769;-3.805243827;-2.6765353;2.261057277;9.005215727;-0.098289258;18.28718548;7.343639026;-2.458528704;13.73759393;-19.4858574;-25.20043002;13.63307399;-3.977551047;-13.00629365;-12.27403168;-8.646444913;-9.885624124;-1.140280125
-6.055427968;-3.101487282;-3.427543051;-4.309775179;4.434705845;1.460309193;24.07592734;9.870633593;-2.085890578;17.6489797;-18.86816308;-23.4563411;-16.2613463;-4.214134609;-2.576790456;-10.52435846;-2.938420852;-11.01634575;-0.759574341
-6.664610108;-3.70755045;-4.038198433;-7.389903943;2.402307538;2.314600234;26.15661976;11.16200179;2.034381443;20.787498;-13.65660582;-20.66492552;-49.65148211;-0.38012086;6.869421619;-9.953932093;0.304570419;-10.43437523;-0.298340015
-7.49940822;-5.54486188;-5.116558568;-4.610048828;3.93233542;1.84613907;22.64759731;10.71703738;8.473700286;21.91567787;-5.60299509;-17.84700092;-71.73625346;5.728835956;9.281343585;-10.2392876;-0.759716492;-7.964183835;-0.17907371
-9.180611326;-7.653746519;-7.185192996;3.011443165;7.131120595;0.686303825;14.70719968;9.284906231;13.40062803;21.46835596;1.074414049;-15.83881298;-71.59932899;10.62196491;3.783922084;-10.22766849;-4.050477961;-4.780404513;-0.495121674
-11.5081255;-9.009137307;-9.839120127;11.93981009;9.334275654;0.044372571;5.418430015;8.411958322;14.01142738;21.02170017;3.208123835;-15.04922977;-49.93587621;11.56491761;-4.962016327;-9.048828856;-6.019394926;-2.732065137;-0.940376779
-13.27865218;-9.193755509;-11.6530268;18.47788532;9.61676322;0.552365703;-2.048536664;9.260929434;11.10383464;21.82100201;1.290575776;-15.45729445;-19.38884531;8.567160462;-10.52139688;-6.936601811;-5.095454877;-2.965618962;-1.104427891
-13.1462729;-8.470039063;-11.20570205;20.77023573;9.307052478;1.707088872;-5.669348303;11.65324287;8.431471292;23.70905249;-1.140489912;-16.61333582;3.498137711;4.355914344;-9.3041827;-5.034975748;-2.877514321;-5.013369939;-0.849877421
-10.88615563;-7.388775222;-8.46701051;19.24887419;10.18797166;2.392176265;-4.82711735;14.15443174;9.400280409;25.36583516;-0.733726816;-17.627248;9.122381875;2.38033821;-2.45003418;-4.377561348;-2.16487254;-7.174813404;-0.425892975
-7.923619351;-6.431404815;-5.258658418;15.68083551;12.30314335;1.952763038;-0.111806024;15.1776952;14.08;25.5567859;2.781748248;-17.38152479;0.442387178;4.408522983;5.99371742;-4.974419642;-3.943713307;-7.937176424;-0.225716164
-6.514495458;-6.00571766;-4.157768281;11.87871337;13.62192793;0.808822974;6.83937947;14.23339205;19.21615989;24.2168299;6.635108381;-15.11215524;-10.68571557;9.492963835;12.4870754;-5.846502574;-6.331065257;-7.284556975;-0.422939418
-8.102031297;-6.630164597;-6.560563726;8.983040543;11.97791746;0.052688945;13.58162812;12.32038425;21.21338976;22.42611389;7.86546207;-11.07713491;-13.27916006;14.89759343;15.98710417;-5.992214556;-6.482839691;-6.799685836;-0.822142654
-12.14103764;-8.877206864;-11.4655019;7.431643622;7.448681942;0.42750931;17.63227292;11.14826715;19.38627189;21.38853844;6.290332686;-6.721732764;-5.308729695;18.06066807;17.27999525;-5.413605256;-3.568783361;-8.427929674;-1.051370249
-16.37499214;-12.89532786;-16.05932439;7.155477806;2.816602288;1.641003836;17.74274236;11.81651735;16.54878495;21.40720962;4.805498441;-3.973730238;5.98133744;18.05230666;17.00782615;-5.242205203;0.130360213;-12.85209451;-0.907994753
-18.4006194;-17.86402123;-17.73527935;7.639230928;1.463381981;2.636899262;14.83698752;13.98849211;16.42476028;21.77644426;6.694272945;-3.991177756;11.07959646;15.64389848;14.71363961;-6.780277293;1.17027684;-18.74341727;-0.537089039
-17.31890378;-22.00156246;-15.96921262;7.962663259;4.443812818;2.555736513;11.62417598;16.17169948;20.2191169;21.60476688;12.3849548;-6.263198337;6.309798537;12.32099073;9.858890902;-10.24010818;-1.808199385;-23.47299029;-0.286047745
-14.21896405;-23.39871458;-12.57235727;7.157919478;9.352968028;1.496151899;10.80667035;16.83122106;25.42894994;20.72377483;18.64197793;-8.847988666;-3.592236217;9.265814648;3.554756153;-14.27262385;-6.573398753;-24.756827;-0.380002441
-11.19994004;-21.22655057;-10.16542509;4.8956786;12.11300426;0.393779217;13.09046996;15.4484456;27.95721049;19.81308531;21.01947991;-9.702980848;-10.02794591;7.037673016;-1.10545328;-16.7463946;-9.045397585;-22.04552375;-0.720666834
-9.786612163;-16.40867528;-10.15208106;2.002595582;10.26062024;0.154777378;16.62702172;12.75629736;25.65448332;19.66406932;17.49882662;-8.159157386;-7.858626946;5.84752347;-0.905518109;-16.20234174;-6.821341346;-16.73187978;-0.987739964
-9.989359987;-11.13695024;-11.80722388;0.220521436;4.973444037;0.850806333;18.49569064;10.07950204;20.18180682;20.33922082;10.18149773;-5.39504908;0.754385163;5.813357918;4.857597823;-12.84899364;-1.347662954;-11.1642925;-0.939536864
-10.62681014;-7.486322773;-13.09430088;1.158303962;0.126573516;1.698996544;17.12508931;8.384111381;15.61765284;21.07139434;3.625559598;-3.505687487;8.825723229;6.817257171;13.34124304;-8.343428015;3.22899589;-7.272064774;-0.63123989
-10.46760653;-6.134444578;-12.38771066;5.121818402;-0.807376418;1.814420922;13.64988296;7.770861281;15.10542646;21.01999555;1.325204094;-3.87198321;10.69623342;8.207534437;19.86996451;-4.584090792;3.550280011;-5.733893132;-0.354179579
-9.16512871;-6.150142272;-9.630058594;10.73881489;2.587523627;1.02346757;11.00397726;7.696611119;18.48026534;20.15974265;3.342922803;-6.104419405;6.429191004;8.888328141;21.182109;-2.491139228;-0.17432322;-6.058330517;-0.361185733
-7.286319357;-5.968996176;-6.084158051;15.73574471;7.59856289;-0.002435222;11.46197273;7.606068429;22.81995404;19.42391358;6.937714566;-8.376650194;1.02324901;7.978875449;17.64737722;-1.668456566;-4.485208902;-7.232568919;-0.636420756
-5.597184795;-4.716649878;-3.107423112;18.30900944;10.78315079;-0.388785252;14.71271634;7.39759246;25.21505905;19.91099883;9.33437601;-8.84861624;-0.323070695;5.571586185;12.74330895;-1.05841999;-5.720594523;-8.312163115;-0.918808919
-4.369523817;-2.788825381;-1.140129591;18.05590782;10.68948552;0.13735196;18.13568197;7.386300735;25.16465719;21.85396461;10.00770507;-7.026020357;3.485012923;2.861854226;10.348378;0.079679624;-3.068674612;-8.612758214;-0.94927138
-3.326323074;-1.274745976;0.25868008;15.82470697;8.649292871;1.019454882;19.05804388;7.896539688;24.52092107;24.30967052;10.53355264;-4.00785129;9.075491437;1.382725286;12.09296189;1.673860446;0.988683642;-7.663283959;-0.708103745
-2.162325246;-0.829008385;1.55331457;12.7720262;7.199604236;1.408263166;17.03791015;8.897837578;25.25321887;25.89483157;12.43704589;-1.520327673;11.97503709;1.870794291;16.7135551;3.093631014;3.055561675;-5.285741721;-0.425369818
-1.031819363;-1.05696168;2.523635611;9.555795197;7.732406662;0.946729672;14.18630455;9.991987173;27.28011049;25.93897173;15.29265648;-0.610976225;10.39934618;3.679318262;21.50267048;3.755523194;1.77164915;-1.900368666;-0.361992513
-0.477157792;-0.968719933;2.448934051;6.370450827;9.473045557;0.077308567;13.25995066;10.71414798;28.44379086;25.02044959;16.95145809;-1.073993914;6.259700802;5.246934436;24.28422984;3.483931729;-1.270124908;1.283405792;-0.569408004
-0.858089336;-0.036505497;0.990978191;3.652849476;10.52805404;-0.3938972;15.21960157;10.85494163;26.61592671;24.38621981;15.63506026;-1.977836888;2.980563255;5.257753786;24.28481304;2.406551538;-3.266048771;2.645952737;-0.848848039
-1.85242882;1.203560968;-1.139187863;2.568538192;9.847814892;-0.053067964;18.4126965;10.54572858;21.90828896;24.76532156;11.81047509;-2.709097396;2.473921362;3.55607127;21.64234288;0.673944673;-2.822632668;1.142451615;-0.941479388
-2.550779926;1.658731097;-2.471394618;4.526450571;8.229072564;0.748605466;20.08717047;10.09709647;16.87893538;25.66136832;7.970706097;-3.55743913;3.949170115;1.109099273;16.62656688;-1.585374874;-1.020174294;-2.716299118;-0.767918477
-2.118705698;0.881628589;-1.86404155;9.8979646;7.494375308;1.236777426;18.86679782;9.788377141;14.51113869;25.81174059;6.46890662;-5.341764131;5.216061162;-0.869518416;9.656577376;-4.023722478;-0.081498669;-6.764122301;-0.495777445
-0.469765412;-0.198990429;0.544392194;17.02011945;8.708617586;0.937432848;15.97068704;9.793253468;15.81220538;24.45557685;7.45070436;-8.459859609;4.890621203;-1.84217613;2.014804496;-5.925037267;-1.080978256;-8.352195866;-0.378320092
1.629421061;0.128384892;3.374866332;22.57835097;11.13093102;0.108707908;14.09663733;10.23930458;19.20657257;22.27663098;8.880569928;-12.2497595;3.454768029;-2.161598789;-3.885150763;-6.525821657;-2.945221185;-6.200184708;-0.519150239
3.105984448;2.771608342;5.029698454;23.4549815;12.84659014;-0.506682987;14.98815946;11.24445063;22.20038809;21.0895989;8.681869773;-15.2619144;2.543423637;-2.503601109;-5.545531512;-5.694596991;-3.656625056;-1.607198019;-0.781296549
3.311295155;6.613945313;4.831245325;18.86625929;12.44859042;-0.364156918;17.88219836;12.81022491;23.67907039;22.38984156;6.958728335;-16.24240757;3.50062296;-3.128627796;-2.224062133;-4.351663001;-2.407158589;2.073767694;-0.920106659
2.349865593;8.907023103;3.337558191;11.16528081;10.21537044;0.39931678;20.23210739;14.64174039;24.65058198;25.91067951;6.102706754;-15.02552161;6.577966765;-3.665854109;4.056564056;-4.054049303;-0.533747156;1.623767618;-0.811397041
