Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-28.82856266;16.8871644;-42.98231717;-95.11517814;-57.31993955;-31.05354129;0.657555592;11.08731575;-5.709839673;-24.41485178;-2.817253913;-51.75172062;4.680855024;-24.82054772;-38.0087939;-139.4995737;-81.58585523;-99.25995606;-83.95257247
11.7732314;-31.58464287;-89.47680914;-136.7993944;-73.90646791;-19.28120839;38.08349953;25.7173776;-8.016875562;-17.07534195;-6.607998707;-95.12315222;26.93898792;-4.261231009;-51.11536118;-145.5829837;-120.9983196;-103.2907033;-79.68417016
46.53320102;-66.86340869;-93.46418264;-112.2852897;-53.90287984;2.019187544;47.59627708;29.22038916;-12.50393145;4.52597618;0.135269716;-94.15247102;38.24898417;29.45697829;-42.18740766;-93.05376107;-110.2619014;-64.69752007;-42.91120736
65.83724053;-66.44091073;-59.98986573;-36.52650506;-10.53978901;19.12873121;24.96576471;13.45416819;-25.87180234;23.73845665;8.742204434;-54.27540941;28.30312981;58.3082099;-23.65885669;-14.38079456;-62.88643112;-8.411585825;0.532243206
67.98769976;-33.3713147;-18.14549582;44.52415252;28.97472263;22.38189723;-12.39240462;-15.81507792;-47.74667087;26.82959905;10.06806527;-5.02609943;2.151134888;66.87452892;-11.18165364;43.83933539;-13.5152598;31.39483119;24.03325656
59.34473197;7.064954718;1.934218456;85.0268516;43.04246265;12.8787829;-38.97742962;-42.72146;-69.91124793;13.34938122;1.488932678;22.07244037;-23.17656545;50.74967475;-12.14307766;54.04491424;7.463412895;35.26605488;18.66596825
49.37621789;27.14249251;-8.75739149;68.3479969;29.874725;0.570463997;-39.91314688;-52.83577971;-82.22398904;-4.435671831;-11.77415387;15.39501732;-31.44604164;17.19561069;-21.73278297;24.63225729;-5.815979609;10.30313401;-2.998657437
44.39984789;17.04154947;-33.8691652;14.0776702;6.091378548;-4.318580865;-20.39354396;-43.49309414;-80.58200504;-12.15721913;-21.65353512;-11.41430852;-19.26691016;-20.83214683;-28.84361524;-10.97677433;-34.24498115;-18.16760432;-19.33318932
44.55907946;-9.88248351;-47.44869566;-39.700337;-7.894073769;0.707114472;0.642712313;-25.03800998;-70.43704081;-5.009014561;-24.07314023;-33.22297556;2.02641556;-51.94204914;-26.18081094;-22.48467701;-51.68490266;-27.3212211;-17.30470034
45.79423087;-29.89780393;-35.69249033;-63.63071631;-3.314496414;9.382722574;6.469932231;-12.37010884;-62.89624036;9.047786194;-21.93439578;-34.02150067;15.79194014;-70.11347387;-16.07251275;-4.844459718;-45.80986835;-13.2340831;-1.186070649
