Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
136.8542912;103.5773829;149.7689551;167.7051366;58.10458674;-12.21920557;-82.35957024;-70.35846181;-84.28952121;-17.32716107;-7.390165261;73.08712285;-71.88347121;-48.51595759;-0.798404594;78.66463187;79.6697775;33.04577296;-10.09063066
93.23267989;109.3084078;128.3360308;122.2394183;39.24961083;-28.23501157;-78.67833045;-66.18951792;-87.408011;-31.41;-20.2969819;47.80066089;-89.09901827;-64.06680353;-15.47046169;57.0190521;45.34467507;-6.835184184;-30.91561772
20.4367654;68.93525571;59.64573451;42.70855593;9.203476849;-31.71707852;-48.14143964;-32.58320543;-55.8760439;-27.26365778;-19.85639977;7.195616725;-66.74064401;-61.58238183;-18.30891029;13.29634816;-1.484462858;-38.37923094;-35.83256875
-34.26788354;7.158770445;-14.79169298;-22.84221248;-13.17589005;-21.73967682;-12.5646583;10.09929506;-9.433043385;-8.08468554;-7.574108433;-25.26110208;-22.02078801;-44.68731797;-8.209140015;-26.36686593;-33.8681387;-43.7811491;-21.57372595
-39.18419824;-39.71831428;-52.15095064;-39.2490447;-16.7377432;-6.278636242;5.832340506;37.47771325;23.02060879;12.38737976;7.505805984;-34.17655114;15.17708159;-25.20927563;6.867727118;-41.00187789;-36.88445038;-23.9952478;2.039591952
-0.678292907;-48.87488881;-37.78549381;-7.68920308;-4.593660207;4.1974699;-0.492806109;38.35600595;24.98784609;21.77969496;15.27410061;-21.20856284;24.57452652;-14.31170955;16.92234497;-28.45491741;-16.14977958;3.482772838;19.40342746
43.48620161;-24.9424525;6.467858159;37.76530507;10.26270929;4.576927824;-21.07936393;21.1430441;3.307134882;18.95614593;11.8180931;-1.038359019;8.546351758;-14.90112932;17.8684564;-4.609796865;8.788107566;18.59536491;20.34091845
54.09774639;6.649203076;40.53192487;56.89878301;15.88374263;-1.820708745;-37.43052371;5.250827509;-19.26133793;13.40936803;1.875508091;11.27428718;-12.99664602;-20.79036164;13.91228584;10.1969527;20.02789121;13.26883038;6.756252901
19.96530036;20.45115217;36.15056364;32.61673064;9.884724573;-7.056389059;-37.65962822;5.135024325;-22.89911047;15.28341653;-5.356333444;11.06524257;-20.13568102;-22.75920208;12.8591083;6.390454035;13.51135417;-4.392055501;-9.889990193
-35.55974631;9.233992371;-4.053616192;-18.82898274;-0.615942244;-5.721148622;-24.34062004;19.87267525;-5.657947877;25.49524838;-3.644598308;5.047723961;-8.101325797;-16.4148477;18.79547891;-9.540039063;-0.789425857;-18.4430491;-17.71991361
