Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
7.140484446;10.17926051;25.71730619;-4.52649824;28.75238985;-0.304304856;63.26516892;18.71484983;29.80399186;13.29035205;27.75502116;19.6552681;22.7259825;2.869496693;8.947210689;34.3455763;0.684375021;86.20216975;-2.511069999
14.00597902;12.24280987;31.7076326;-2.66381365;28.01850248;2.344403109;95.42427777;15.45777917;21.37191703;9.137229519;11.79800314;6.68752883;12.77482466;0.679052982;0.343528482;34.85768584;6.439510835;45.33796864;2.106909302
17.44163977;9.830875987;28.22672713;5.484465095;8.514370341;3.933531677;87.18406676;8.475754687;12.55796386;5.117480324;-4.498770902;-13.37975566;-4.085228571;-1.552274542;-9.129992103;26.65095061;11.16601439;-14.80828219;6.420485727
16.24831611;3.902452436;17.29751559;16.26353697;-11.13478406;3.546877603;44.60672897;1.612344732;8.219978246;3.170550107;-14.84054365;-31.59020202;-19.28805263;-3.01393865;-15.20419168;14.98769431;13.24117369;-62.61036087;8.02855802
12.4649293;-2.340926733;6.099936393;24.64910646;-15.21553823;1.6722352;-6.409783349;-1.265888904;10.78556412;4.260745096;-15.44007813;-39.08927231;-25.07168695;-2.825961891;-15.06805022;7.698104166;13.15776224;-75.59227686;6.56320076
9.783628212;-5.066276796;2.004033224;27.39249832;-2.207894964;-0.238255926;-39.16712794;1.222036292;18.36417823;7.770932049;-7.704392006;-33.15888164;-19.53428813;-0.606932354;-9.121185147;9.682804291;13.01201452;-54.87876179;3.733103677
10.8128607;-2.079239759;7.400701933;24.78500111;15.99643299;-0.895867342;-43.58837886;7.192549591;26.00367633;11.97720958;2.603955834;-18.965464;-7.507276606;3.064871078;-0.682961401;19.58003906;14.71800304;-22.44364762;1.888475805
15.27397648;5.734011265;18.23102434;19.9781016;25.14271255;-0.094356435;-29.43851818;13.06517903;29.22870442;15.29450594;9.308738328;-5.708664289;3.234422622;6.740019531;6.14277916;31.01281766;18.34667045;-3.941666955;2.255725556
20.43654556;14.86173338;27.24772427;16.58390892;20.14405359;1.265688125;-14.7926046;16.24109538;27.18467171;17.3626219;9.959621697;-0.167098016;7.414293457;8.812314465;8.95268349;37.31815577;21.92744497;-10.50257984;4.183609482
23.32710584;21.30662033;29.37731905;16.38815239;7.861126636;1.993393202;-10.65287439;16.78742604;23.00882124;19.12568338;7.012339193;-2.544245637;5.277911262;8.429163668;8.17786458;36.0768511;22.89687309;-32.86695219;5.886919203
22.91491231;22.97747768;25.02932914;18.68802455;-0.111518924;1.557449076;-14.30284441;16.86621486;21.22050707;21.82400353;5.192232638;-7.538837691;1.236634196;5.951768937;6.191237632;30.11188892;20.05873968;-51.09635748;5.984784592
20.61941603;20.69383797;18.99661417;21.40907933;2.381276993;0.412409527;-15.33747951;18.50673967;24.21444942;25.68985558;7.233459929;-9.376770303;-0.34961936;2.611326938;5.187573848;24.53764305;14.51224097;-51.12727496;4.564416524
18.91035016;17.18205245;16.17166563;22.88439498;11.66102993;-0.496212009;-7.340732;21.65163065;30.5398536;29.42126238;11.49686117;-6.555992206;1.318429004;-0.389942437;5.463814391;22.51187315;8.841320879;-34.98336519;2.972600051
19.27362147;14.9219046;17.7216647;22.91622842;18.61910918;-0.568017579;5.749069269;24.11720932;36.14827407;30.94072754;13.42419471;-2.597525264;3.345079472;-2.651210613;5.330268062;23.13112217;5.247203755;-17.45582046;2.606998611
21.19184368;14.49884176;20.71807832;22.52154817;17.22677249;-0.007501167;13.73019965;23.46494565;37.46934752;28.93751031;9.612153368;-2.552430621;2.113606734;-4.638215767;2.614687499;22.91500394;4.110135619;-13.11122416;3.751604205
22.81920599;14.61593765;21.18279207;22.8311566;9.43929623;0.441687354;10.07542825;19.17356345;33.8826642;24.02392911;1.086800674;-8.448576158;-3.37341393;-7.031163766;-3.442619754;19.31201298;4.050336758;-24.62531512;5.377316521
22.60545968;13.55047273;17.70543967;24.12036792;2.617221086;0.206201749;-1.801149083;13.26437501;27.82060153;18.55500817;-7.037461389;-17.50275468;-10.59117339;-9.927457145;-11.32445134;13.1275723;3.305312818;-41.43184442;5.979296011
20.44148808;10.72476763;12.51555759;25.63307497;2.421315295;-0.599504568;-11.56363901;8.835026317;22.6826498;15.13582411;-9.385779138;-24.42007813;-15.61021294;-12.5849716;-18.00902693;7.882743148;1.208378958;-48.85861416;4.695189801
17.45682753;7.089112567;9.251898774;26.14188546;7.83301813;-1.282240012;-11.18169098;7.689109298;20.34896192;14.84448137;-4.625537214;-25.68012972;-16.29059766;-13.93649687;-20.79753222;6.794990395;-1.425819471;-39.77508288;1.812023678
14.82667664;4.111023935;9.546206063;24.70407792;12.54706837;-1.18507945;-1.818747763;8.975701648;20.15447062;16.45962211;3.225091758;-22.2113347;-13.85986322;-13.45397699;-18.927514;10.03028594;-3.205735023;-19.58640503;-1.632343714
