Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-0.645510624;13.27487877;-45.65759087;13.00316612;-115.440999;5.423221666;-131.9037552;2.587940517;-2.994464471;-7.411492575;-7.018996093;-25.54698221;-31.67266323;5.237252126;-13.69944148;-28.04613486;5.43237532;-119.1257347;2.608168343
-0.231709084;4.992563137;-64.56611604;2.13366746;-137.3662742;2.326387376;-159.3294791;-9.060950199;-11.72965983;-20.23392185;-27.18971492;-46.23524753;-40.63384292;1.297199274;-21.38430704;-37.72329915;2.359306676;-130.8689296;2.856037985
-1.949336213;-9.681849294;-61.76059049;-14.29330455;-98.01080097;-1.067370876;-120.3878654;-14.41816184;-13.96150837;-26.59373998;-37.90956342;-51.90347948;-34.598839;-2.816766724;-22.91990832;-34.3307972;-0.717914527;-86.66706498;1.191323148
-4.525352161;-23.5159384;-42.59794209;-29.81681946;-22.64483222;-2.886871658;-42.82145741;-13.20860803;-10.68570467;-25.64011063;-35.32162673;-41.69048054;-17.93403687;-4.37862621;-17.34515957;-19.97915822;-1.597609447;-14.13735711;-0.958936006
-6.660202789;-29.72908876;-21.30841841;-38.25616862;42.80493426;-2.426084709;24.79748471;-9.211800085;-5.86719732;-20.59376623;-23.2979645;-24.1159915;-1.147131961;-2.623457553;-8.062852929;-3.525852479;0.14556168;42.24202127;-2.212203814
-7.695625888;-26.30771823;-10.84885404;-37.44243294;64.04278937;-0.565158468;47.17817534;-6.976397479;-3.187055781;-16.12809158;-10.70217809;-10.78411198;6.546257967;0.77482545;-0.413434614;5.79972293;3.09877957;52.85829259;-1.938104
-7.692037161;-17.0705015;-14.55485725;-30.10372864;40.56538013;0.995370828;24.28370357;-8.366019037;-3.59577868;-15.07051035;-5.408275742;-8.535542604;3.201625358;3.023796892;1.944301227;4.644453811;5.234286358;22.45778446;-0.470015869
-7.03553356;-8.793105099;-25.39239043;-21.5247964;1.843365603;1.057914311;-13.9359769;-11.55708952;-5.338123982;-16.86081828;-9.283640335;-15.71077;-5.526347956;2.280711259;-0.839698615;-2.916753307;5.372913257;-16.83441011;1.213796505
-5.995278372;-6.498342066;-32.55877803;-15.92409903;-17.93730068;-0.228734477;-33.64786817;-13.02645429;-5.989318517;-18.66965321;-17.58803455;-24.73825983;-11.44449855;-1.094640377;-5.57769593;-9.282395503;3.800717549;-32.18299795;2.109901131
-4.57343079;-10.25007813;-29.78424375;-14.17320636;-5.969087286;-1.621797169;-22.42279826;-10.67822496;-4.545954642;-17.97773896;-22.9516866;-28.42235915;-10.03114175;-4.963793731;-8.820278219;-9.269564285;1.734021677;-14.62670229;1.762742182
-2.668575305;-15.5895137;-19.04007813;-14.17383677;22.16229313;-1.860132692;5.343674076;-5.491754145;-1.877712183;-14.44813793;-20.78876911;-24.87527666;-3.087765345;-7.056349052;-9.292750719;-3.452435406;0.24039046;17.26203711;0.493031545
-0.311864123;-17.06452722;-7.565224242;-13.1192461;38.29;-0.66238731;24.63440591;-0.463506379;0.541543708;-9.763428261;-12.17191605;-17.67907072;3.718215445;-6.508511735;-8.156865675;3.298386267;-0.460409847;35.6662141;-0.830833318
2.268864063;-12.14026972;-1.463028299;-9.671226942;25.94177644;1.130561085;22.14689413;2.078017336;2.227054981;-5.901857232;-2.361775128;-11.92992487;5.91298873;-4.172353537;-7.210210476;6.327825176;-0.846002101;27.18934999;-1.341195905
4.795798175;-2.694368963;-1.310450029;-4.550691667;-6.876611208;2.311770548;5.885605987;2.42043622;4.093780401;-3.525628125;3.455001589;-9.897191609;3.644754559;-1.627436197;-6.840901079;4.831022616;-1.386710904;2.27691214;-0.707290354
7.134121119;6.750219068;-2.882081596;0.463625463;-35.68709044;2.285317596;-4.642683164;3.05927214;7.395508092;-1.81980845;3.75547187;-9.803773191;0.992851913;0.168418384;-5.614363065;1.841479374;-1.996667112;-16.02204591;0.684845571
9.339145451;12.46555026;-1.597487899;3.951480776;-40.25780331;1.462960411;2.457789907;6.370118849;12.27514024;0.308711599;1.031377998;-8.240431529;2.186907064;1.480824469;-1.813188631;1.059636342;-2.116480959;-12.77651177;2.034384694
11.51120433;13.94939111;3.488555554;5.508547696;-20.2958863;0.814092639;20.27820902;12.39327731;17.31483884;2.952458991;-0.888860156;-3.678302368;8.097194834;3.26826744;4.526551754;3.523514106;-1.290930585;6.855152558;2.700589349
13.58434276;13.64371566;9.361939457;5.414413918;6.221213591;1.014253602;29.26415488;18.59137082;20.51339909;5.059256162;-0.025356586;2.067484605;15.76525927;6.094592899;11.00045815;6.914912612;0.325744171;23.86776558;2.627056842
15.22926164;14.42905733;12.12278061;3.978924638;19.31863339;1.927969905;14.81864543;21.73042926;20.81604402;5.478831577;2.641868279;5.494687146;21.00287172;9.461895498;14.3302095;7.802587628;2.002619928;23.11127219;2.287797639
15.96034391;17.05362139;10.39020512;1.317128941;13.36538738;2.820714321;-19.15889612;20.2849809;18.85443203;4.127542299;4.695472726;4.496815437;21.63160325;12.10820065;12.8137253;4.639070718;2.968369301;6.309748791;2.197999459
15.38881732;19.56166863;6.111081111;-2.343776352;-0.010436444;3.05160683;-52.37184785;15.42965131;16.29753935;2.127731315;4.749035572;0.106301352;18.72189223;12.97098862;7.71213349;-1.07614175;2.979907937;-10.62736424;2.399322018
13.46893211;19.08970797;2.448561717;-6.352998954;-3.747392344;2.614185829;-63.90521587;9.946823285;14.45155809;0.782368801;3.581421021;-4.495729969;15.14369134;11.98794001;2.399851601;-6.243951981;2.448465896;-12.63638554;2.377047015
10.58922411;14.48739157;0.975680261;-9.830809453;9.220477597;2.073703471;-48.37277035;6.097524476;13.3585973;0.358793131;3.069441251;-6.658800015;13.01222155;10.09760712;-0.066263463;-8.726012666;2.047044758;1.133148898;1.516941561
7.442889913;7.588982556;0.701471312;-12.28539564;30.32522389;2.003697664;-19.32170909;4.22041618;12.11765148;-0.15949705;4.090097656;-6.244637504;12.2877923;8.497678847;0.965475575;-8.761953621;2.155380818;17.38210815;-0.270695784
4.72014236;2.06378658;-0.492130305;-14.04455821;43.67636534;2.453394203;2.203821281;3.033913603;10.01185852;-2.097488357;5.417579367;-5.326071193;11.49157875;7.805709796;3.584358396;-8.238197973;2.598583037;21.39432707;-2.327432012
2.760781783;0.706407391;-3.652030892;-16.00056781;40.2637502;2.918852296;3.913227934;1.11510354;7.323260432;-5.781687311;4.640462283;-6.099833927;9.554287399;7.777838529;5.060663976;-8.773358412;2.851964769;10.4093012;-3.691847136
