Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-3.202534778;-10.62260081;13.05985518;-19.12922159;75.46732666;-6.159719458;138.4483869;4.873591704;30.56296266;-1.637715701;38.05820288;39.9918112;40.94316239;2.012751556;12.48199009;35.03739199;-5.095618902;121.9461014;-2.999660079
10.29608615;5.08380696;33.02151162;-0.803601834;7.983292131;-4.439097142;126.3598042;5.764218387;34.70972044;9.216595381;43.62577299;47.87946946;39.14774277;11.79275174;25.2684774;49.79855909;5.300107103;53.21683031;3.917084659
19.07964585;21.33727252;46.06550564;20.62136354;-60.92491335;-1.744669362;65.73593931;6.125120867;32.57736891;18.08948636;39.1866634;42.25391482;26.64500647;19.76277577;32.99558215;51.17213977;13.40647404;-50.03555047;8.999467189
20.35388208;31.55118329;47.98424047;35.95894342;-91.920797;-0.1027938;-4.16585881;6.437927988;27.63290044;22.06007813;30.70224169;29.24666308;12.29247217;22.63999568;33.86039256;41.60767207;15.2065577;-131.2445609;10.19948479
15.53034197;32.43396785;40.21962581;39.58692161;-72.92269046;-0.398605608;-41.702735;6.985285823;25.13711569;21.24153971;26.23588294;18.73374943;5.021439934;20.42824123;30.11594875;29.17834482;10.80273139;-151.7693728;7.775699416
8.916621145;25.9488545;28.51678644;32.4644979;-25.76399576;-1.981413502;-31.85301475;7.30215947;27.67541313;18.08545227;29.69125229;16.89687049;7.507799102;15.83332993;26.05883856;21.61193435;3.911502814;-117.3134833;3.985889869
4.641705978;17.75983136;19.01469418;20.90426383;11.87531175;-3.411767763;6.146118509;6.30891559;32.91592465;15.20606751;38.17018291;22.21080232;14.87942059;11.99657763;24.83300686;21.28933262;-1.032499974;-69.66064895;1.47998347
4.108897635;13.30412517;14.57667699;12.15652521;14.46410019;-3.654439649;37.01088882;3.207283489;35.51350066;13.56261614;44.76937963;27.66522538;19.16249746;10.35673836;26.41192976;24.63193847;-1.911959353;-51.64452358;1.570788644
5.71184366;14.34743076;13.81384398;9.950824656;-14.91434285;-2.763601925;37.73493964;-1.502665148;31.63804131;12.36611991;44.27087987;26.99366532;15.70876368;10.1353933;28.09548601;25.7934833;0.071450961;-74.37244011;3.580191682
6.726062321;18.43168775;13.13460827;12.90899854;-50.7565548;-1.612908024;13.39147963;-5.806062362;22.40984387;10.52759389;37.081335;19.68346244;6.524872446;9.544436816;26.90152834;21.44051489;1.907589652;-112.6180212;5.607739208
5.672725369;21.36140151;9.939191836;16.50003906;-66.92111092;-1.026594988;-10.85093938;-7.176782098;13.39758875;8.18362173;28.4926418;10.88678082;-1.841828932;7.509951558;21.88270654;12.97526549;1.36935618;-130.1492729;6.024391408
3.28198685;20.58103837;4.450777861;16.70866808;-55.74458076;-1.099768454;-13.09804329;-4.252023157;10.53608459;6.879576657;24.25065662;6.729051785;-3.787408854;4.491655595;14.65254708;4.899815956;-1.39131384;-112.1206947;4.547084584
1.489216316;16.78106104;-0.99333121;12.65545009;-30.36544411;-1.243782884;6.65093468;2.031086169;15.69724268;8.252687657;26.23421925;9.200757581;1.06606166;1.897886243;7.953342672;1.08150191;-4.311919854;-76.95369771;2.189394723
1.534708595;12.69287888;-4.253547438;6.554243203;-10.93067258;-0.827865689;27.54394007;8.790420378;25.36659808;12.40567516;31.58958555;14.85499677;8.059964392;0.7931774;3.630548583;2.04033467;-5.297947181;-58.58944311;0.302680249
2.8680558;10.40519397;-5.192872634;1.542365555;-7.945158183;0.201060406;26.49455363;12.93429792;33.34023957;17.44113129;35.58556855;18.10602002;11.62;1.07506688;1.675944925;5.180907947;-3.840629392;-75.40758056;-0.425234628
3.742665094;9.669262265;-5.499492123;-0.639499146;-16.44735584;1.259690726;-1.96788158;13.09130762;35.20388288;20.6343146;35.48271871;16.06482406;9.681870024;1.749603543;0.922408196;7.355370908;-1.127793905;-112.9390533;-0.239690606
