Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
0.907469618;16.15434601;-6.330776551;2.281952694;-93.20104252;-2.408510979;-38.96922911;6.851837959;-122.6063104;-15.78310198;-73.31401504;-28.46793508;-11.23866648;-4.738465211;-6.781757449;-0.507322691;6.867445442;6.736801061;1.782966678
-2.85066204;-5.635171737;-8.981989685;-8.86585127;-42.12038647;-4.983312064;-2.108356946;1.018798002;-32.19371745;-14.61909485;-41.40859088;-37.78521121;-7.67166203;-11.43768852;-16.6924044;-8.643909637;-5.525668466;50.5578312;-1.938311024
-0.024096117;-15.41804499;-2.038497542;-11.22739822;-9.016714114;-5.154689207;31.92688678;-1.489863471;27.70223335;-6.722190044;-14.28505955;-44.98962938;-4.479475302;-14.70475368;-22.37169342;-11.59917611;-11.16348175;87.15182599;-1.478314328
6.422429969;-13.26598842;5.644411751;-5.979231223;-7.446579508;-3.257002913;42.61478066;-2.118529684;42.80653803;1.897698515;-6.879059006;-52.62390981;-7.427561056;-15.29982614;-25.5783488;-11.97536494;-11.06944846;90.346636;1.321627527
11.606911;-5.926171617;6.66039071;1.889902168;-26.55952664;-0.807198798;26.28180753;-2.43281696;25.03199924;6.520636471;-19.3197982;-61.14337069;-17.25693302;-15.17467952;-28.33949717;-12.85878993;-9.045238781;60.48370893;3.32019208
12.29289347;-1.167192694;0.310759275;7.142288203;-41.2121763;0.627331189;-2.567389363;-2.713896732;1.293400911;6.860365441;-38.19400496;-68.43916231;-28.93840043;-15.90396889;-31.47411954;-15.43065871;-8.660547822;20.73415706;2.547101761
8.986708873;-2.127039209;-7.962672023;7.807287324;-33.20579877;0.479406778;-22.85733184;-2.047350703;-6.127045692;6.498594166;-47.60409221;-71.81431052;-35.47792717;-17.666252;-34.34986853;-18.39020407;-10.85899583;-2.824993027;-0.443526188
5.110468699;-5.92427439;-11.88101265;6.10027768;-5.492289152;-0.611086631;-22.20769378;0.312902366;6.909565205;9.353573469;-41.03301695;-70.48799631;-33.22696318;-19.43644478;-35.78772509;-19.45852507;-13.8326744;-1.120665005;-3.300068359
4.083392445;-7.166691815;-9.609283798;6.151540953;22.39769355;-1.499736789;-4.508546564;3.650102009;27.70685714;16.20615081;-24.96211114;-66.398924;-24.53215784;-20.07436574;-35.20809239;-17.58831024;-14.97824501;12.90293254;-3.931175368
6.679794791;-3.075545032;-4.742300818;10.38937648;32.91700962;-1.516633553;14.97215787;5.820391037;39.74049056;24.04793268;-12.22183583;-62.71599559;-15.78925017;-19.35876776;-33.0890893;-14.0263897;-13.19348204;16.66856558;-2.140935344
10.65304861;4.077744753;-2.646971749;17.43218842;26.14648219;-0.936326047;22.08333639;4.695966131;35.99343094;28.56657985;-11.22735544;-61.48101989;-12.64225397;-18.17016791;-30.49594694;-11.39765633;-9.689155841;-3.027816661;0.430047607
12.72434494;8.99619563;-5.678347344;23.1121579;18.58662369;-0.627636111;13.86570962;-0.15292767;22.56261807;27.54786225;-19.96785057;-62.4292215;-16.17964354;-17.76774028;-28.22138014;-11.62354668;-6.835515646;-39.31758936;1.846170403
11.20418405;7.83071521;-11.40139574;23.74615333;26.54686313;-1.250145303;-0.946754633;-6.949956192;11.37020808;22.40672688;-29.04913334;-63.82926075;-22.91129615;-18.80496576;-26.3262928;-14.40768834;-6.168099575;-70.44444182;1.490469694
7.169985101;1.234575122;-15.06166896;18.99363581;49.61844539;-2.689262254;-10.18202421;-12.84241113;9.494896687;16.782899;-30.4194249;-64.3540639;-28.1140761;-20.85808408;-24.44288814;-17.50240603;-7.24962895;-75.98674434;0.397985826
3.422359425;-6.404815931;-13.85046579;12.02478253;69.75872033;-4.1635861;-7.933917059;-15.80532616;14.25287376;13.58118504;-24.08703998;-64.20050176;-29.53410413;-22.77173425;-22.50596481;-18.49250049;-8.246680581;-51.44399422;0.136982791
2.234065182;-10.62988022;-9.178400646;6.941610117;67.37345293;-4.855674811;1.803669198;-15.8576327;17.21474642;12.95576675;-17.44942751;-64.54514209;-28.49318175;-23.48885396;-21.20762889;-16.63422485;-7.61537584;-10.6859267;1.304433485
3.741684815;-10.24771816;-5.153332338;5.62625211;40.06298484;-4.511029607;9.559214521;-14.72138385;12.54288199;12.72924389;-18.40187158;-66.04885671;-27.89835406;-22.72643872;-21.71744555;-13.32093533;-5.431508924;24.56469924;2.953968233
6.142820026;-7.672322534;-4.830590135;6.602597724;6.657782879;-3.534275463;8.482951189;-14.30524301;2.008784303;10.61613914;-28.45650231;-67.97019643;-29.26593365;-21.06;-24.84422461;-10.91585687;-3.297733029;39.65118663;3.395860384
7.340355015;-6.3306991;-7.599828647;6.766430057;-8.081296435;-2.570622453;-0.484736068;-15.25794105;-7.204854729;6.234578886;-41.59834599;-68.77526386;-31.44598446;-19.45485401;-30.29853625;-10.98314169;-2.995054924;35.41867463;1.620063477
