Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
0.599516528;-0.893661106;-5.33589765;0.431365191;19.56294849;5.082149335;-11.7317938;-0.193550142;-25.38423065;-17.90941554;-9.166074077;-19.60933547;-23.8752583;-0.725449228;-13.49830575;11.56224689;6.35381176;-72.23976938;2.445323968
-3.647910402;-4.014004099;-21.02343591;-8.753723418;-7.259712178;1.714417127;-47.45998255;-11.90752535;-31.12633702;-40.30134555;-19.02054692;-41.9570614;-30.81646011;-9.52941017;-24.40620064;-12.97378214;-1.25054046;-64.022292;0.526799267
-6.330150106;-6.449332158;-25.7572344;-18.16517562;-20.36876335;-2.282357755;-50.86750329;-17.60990244;-30.58328033;-54.01231157;-22.65889996;-53.95358945;-30.2457693;-16.94822432;-29.61146761;-28.69466538;-6.370167507;-29.54106796;-1.379760072
-7.151607244;-7.890058594;-18.31566256;-24.4629418;-14.24905831;-4.636891758;-23.84957806;-16.40891931;-25.00688558;-57.6028204;-18.97164139;-51.78775921;-22.63698397;-19.7056209;-27.49853264;-31.17;-6.526421513;10.03180305;-2.317960877
-7.332603732;-8.479850613;-5.803578338;-25.6139781;3.041160628;-4.338841102;10.6730152;-11.7698707;-18.65980918;-55.32740436;-12.11421324;-40.10392897;-12.74325923;-16.99475709;-20.00974558;-23.2148164;-2.077190701;32.13281716;-2.138427935
-8.549516458;-8.394063008;2.135565025;-22.49155652;16.7945479;-2.209395134;27.58357909;-8.773138799;-15.96888004;-53.46251208;-8.078219496;-28.25076036;-6.269022039;-10.93220649;-11.44503623;-11.97583831;3.975528967;28.01353619;-1.619121107
-11.51259203;-7.539194624;0.589192792;-18.54476541;16.6428587;-0.144090601;18.65158852;-10.42762507;-18.71073453;-55.8128566;-10.19662605;-23.54868728;-6.003515698;-5.044886834;-5.813574283;-3.709588273;8.085698066;7.059512703;-1.786190266
-15.3175316;-5.64521073;-7.494468253;-17.54270615;3.305283591;0.318267789;-3.235529696;-15.86357778;-25.15957976;-61.66581458;-17.07478429;-26.64508091;-10.29585936;-1.971567853;-4.561383476;-0.224276546;8.619048157;-12.12761781;-2.971070857
-18.08931534;-2.659077209;-14.40900945;-20.93782012;-13.36953077;-1.00442635;-16.97307408;-21.57247058;-31.63084691;-67.31206145;-24.23393565;-32.18347318;-14.86162537;-2.063900196;-6.209015221;0.740321461;6.808641911;-16.15686666;-4.397772415
-18.41250274;0.896345937;-14.14713677;-26.82443908;-22.68483742;-3.048009885;-11.44574733;-24.40256831;-35.12977753;-69.47997486;-27.74311143;-33.78587151;-16.30250312;-3.761731277;-7.986131074;2.186380404;5.515555745;-5.554617834;-4.7
