Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-7.096275063;-27.36337519;45.62231158;-8.449168309;18.67877369;-1.275543204;191.6904085;36.72225223;106.1260747;52.9868565;98.69905221;19.72573849;47.98300716;2.026557553;-21.15050883;41.75584806;-11.92358885;313.7681675;-6.601116614
-1.224494675;-15.58423338;72.31417881;-5.825647689;6.370463734;4.624615423;152.1344617;29.77386455;93.5133076;30.99806233;97.04994608;22.67540228;43.30280423;5.743663873;-24.07203984;44.94622177;-8.722189636;250.7712532;-1.789453431
3.43;3.650729463;76.94410411;-0.09158491;-19.65133956;8.349519538;52.58091279;17.21632401;63.68717864;7.800328071;71.90048244;10.09201945;22.68016543;8.081441281;-27.55186267;43.99487446;-5.503007159;123.1571873;2.539357553
3.531654722;19.31019773;61.14489399;4.618829397;-43.30992544;8.607308128;-47.47272838;6.130019531;32.82196712;-7.495125261;38.79921773;-8.954956955;-0.182519452;8.196866416;-32.43775807;46.08529621;-3.992272167;-14.84719902;4.322543587
-1.256762542;23.74547552;35.52519753;5.739173378;-48.83474923;6.319612013;-93.92809732;2.942460865;16.07948502;-11.22825072;15.95347484;-22.8544567;-11.45645455;6.872229731;-37.58908438;55.20867406;-4.714720628;-109.7254256;3.148049559
-8.137831489;17.96397843;12.23720158;3.457553427;-31.21105026;3.781956928;-74.35760648;9.128804146;17.79787175;-6.595331403;12.32222582;-25.2492499;-6.818490813;5.807319247;-40.19565135;68.59591242;-6.724208705;-136.4686282;0.259169394
-13.18584821;10.01648577;-1.884480445;-0.406356367;0.204581362;2.948999442;-21.29091278;20.12467379;30.0329786;0.014875142;23.08501289;-18.18792191;6.574569837;6.304551589;-37.8720422;78.55764517;-8.301055253;-108.5920238;-2.426452538
-13.9813786;8.029331065;-7.252742165;-4.584789911;28.88019644;4.155999365;17.38205093;28.30538375;39.90348631;4.307895429;35.24471075;-8.773240121;16.89225958;8.367561155;-30.9716211;78.18747908;-8.119443064;-65.00304022;-3.539448568
-11.00831027;13.6163145;-8.455189468;-9.547306997;44.26162189;6.162530402;15.665937;27.94699369;39.54502229;6.58123155;38.37017627;-2.725870742;17.37829711;10.83517082;-23.09524616;66.53740285;-6.059368467;-43.18593123;-2.906869779
-6.97456264;20.90652356;-9.705296749;-16.61570447;50.15778696;7.335027762;-14.74437822;18.67637476;31.0069068;9.790078125;31.98581555;-0.385845371;11.14428369;12.34059772;-19.01439929;49.49530975;-3.121468656;-56.52706188;-1.315726904
