Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-92.27586773;-73.37038076;-101.0651844;-100.2541123;-105.4652554;-60.95722819;118.5867647;-89.17414223;-46.21592156;-107.4089985;-85.34769002;-103.9825481;-74.10905146;-111.5283336;-66.3327773;-55.9;-12.98068942;-55.20719475;-52.33332486
-75.96301845;-56.07620464;-80.32147871;-79.9731439;-86.13924213;-45.20395096;129.6489873;-47.50503193;-6.563130904;-68.60403363;-36.95441399;-72.53760875;-35.99077158;-94.68844376;-44.98300235;-42.13693632;4.087868365;-45.45684374;-36.72388308
-35.21309316;-18.23367755;-33.95413903;-33.72443146;-41.04719247;-14.8763144;85.60021573;9.272478045;16.20504146;-5.295938854;30.28054261;-17.79246216;10.96231746;-45.70676389;-11.73272212;-13.18931132;16.26515579;-24.18788546;-9.991366478
5.269244398;15.860737;9.768834283;12.44963391;4.812745973;12.24903146;11.98130797;51.12873773;5.181849883;49.77474969;81.43917972;28.51753199;40.50046152;5.590215761;12.62130567;10.40301579;13.96990384;-8.013792982;11.86127837
23.91;26.05346087;27.39087242;35.61973148;29.46776847;22.25808555;-48.76199671;59.77758875;-30.67873806;72.0884686;93.54773142;42.11893194;39.34624266;31.49007813;15.4225647;13.87987421;-1.341073387;-7.561760182;17.75
16.42454771;9.422186845;15.52732227;30.70412987;27.86316238;13.89559748;-66.49161875;39.44141019;-63.67046272;60.38732696;69.36619197;21.47007813;14.86705267;24.55267475;0.015671801;-2.412912596;-18.86310973;-20.84831649;8.489630537
-3.449118424;-19.58743017;-9.34404698;11.45563197;12.64896241;-2.165439859;-42.33070564;11.23406665;-68.65995638;34.39971425;32.49261204;-13.62480458;-12.21710808;0.034902289;-18.5384005;-25.16909398;-27.03604576;-36.29034358;-5.226816342
-16.26610825;-41.21255415;-25.32808239;-2.070834635;2.347078764;-12.34452927;-4.129491001;-3.567715735;-41.74619825;18.17518761;8.931365273;-37.82975053;-23.66192092;-17.97076439;-25.77208731;-39.19029543;-22.10365864;-42.3106825;-11.72963204
-12.03834008;-44.82215529;-21.88741324;0.834554623;6.79016087;-10.14311057;16.5434361;1.791230172;-1.927206448;22.48195291;9.788521666;-37.91525821;-15.73190586;-15.04572057;-18.26589147;-38.35869423;-10.09969712;-35.78367488;-6.978591818
3.400388415;-34.93038388;-6.138312937;14.81622606;20.97736674;0.352492363;7.3502859;17.44534761;24.66044767;39.35079688;27.33509079;-19.42588867;0.982292108;4.578602026;-4.577589926;-28.37702014;-1.228798395;-23.1251782;3.549607965
14.83919654;-25.23778639;5.083332071;24.92842661;31.09030395;9.329870756;-18.95924187;27.45508141;24.66467676;51.47683523;45.15434012;0.970036621;12.300299;24.23700786;3.066530669;-20.21588274;-1.615441749;-14.04314929;10.44140781
10.75207948;-26.5899508;-0.175849906;20.00773715;26.70115237;9.776032839;-38.3032852;23.40236337;5.868030414;47.54980733;52.32376013;9.732938581;12.1479926;29.69566006;-1.063418119;-20.49797483;-9.085665473;-13.63;8.301607394
-7.801921412;-38.79212493;-19.7790655;1.777336338;8.972801216;2.632594053;-35.83231003;10.10904549;-11.53232567;30.89551166;50.01749679;5.617074554;5.932719382;20.08415169;-12.30086714;-26.78417547;-15.9271845;-19.17350626;-0.39263111
-28.97321726;-52.15217403;-40.37125486;-17.17750611;-11.18502451;-5.058144899;-16.49559929;-0.065449163;-12.22603195;15.36746489;46.80606078;-2.410024414;3.964873107;6.728821525;-20.3805746;-30.97435779;-15.77320742;-23.64315139;-8.160325404
-40.11479964;-56.35429517;-48.81118283;-24.01226754;-22.47410817;-6.697659719;1.573218917;1.592185623;2.956026701;13.17235335;48.7804631;-4.953822427;11.52275079;2.218661675;-18.28146242;-27.1420136;-8.691707929;-22.24855482;-9.112199532
-37.25488104;-48.74380719;-42.18186707;-15.62755347;-21.81083712;-1.527878074;3.569330419;13.21036402;20.23706628;25.28125629;54.0426777;-0.469122747;24.24614937;9.672918727;-7.710426332;-16.83992613;-0.526343777;-16.3505997;-3.559575109
-26.65892712;-35.48342307;-28.56510084;-0.158919384;-15.36693222;5.409188442;-10.10288885;24.88948532;26.31701485;41.87898952;55.9075635;4.676593164;32.29306448;21.01996297;2.80524686;-7.622088917;2.437503545;-11.7602125;2.923525582
-18.22185273;-25.53259111;-19.04304685;10.45237166;-12.07835637;8.132504205;-25.86492132;27.65493948;19.70536567;51.36742677;50.735531;3.286455169;29.03782362;24.83773398;5.015767772;-6.518678191;-1.335470752;-13.39754493;4.672009038
-17.03625001;-23.21934201;-18.46369223;10.02782725;-15.79738238;4.854840648;-29.80643799;20.70269759;10.54238734;49.61170334;42.37890535;-5.517559033;16.58757299;16.3348508;-2.816833838;-14.2738029;-7.867773522;-21.13688887;0.653881687
-20.21250702;-25.62961949;-22.67147212;2.020420069;-22.72635875;-0.947585239;-19.52418353;11.04191649;10.15290507;41.83834972;38.94243882;-15.51267483;3.658661267;0.933974143;-15.25973994;-25.08760913;-11.57688775;-30.23090952;-5.136389183
-20.85380103;-26.31725828;-23.67200005;-4.759856172;-25.68848963;-4.037975074;-5.065671291;6.598036265;20.38269749;36.55703074;45.05686854;-19.22470569;-1.865907967;-10.98554908;-24.44801838;-31.68024182;-10.16562065;-35.54834988;-7.537518507
-14.89575776;-21.40995813;-17.38215721;-4.14421204;-20.89771889;-2.085022414;0.842739037;9.292286499;32.24849796;37.65900253;57.08893346;-14.75960685;0.937360278;-13.00672881;-25.91655288;-31.10916927;-6.275335413;-35.70144221;-4.6988968
-4.604778698;-12.67726985;-7.016285576;2.651741214;-11.19700712;2.607311099;-5.985852607;14.05762734;34.59810366;41.72;65.90505249;-7.426454844;6.23217322;-7.449597995;-21.03587197;-26.53137832;-4.74950205;-33.57996205;0.657556728
3.902339226;-5.392530007;0.34470394;9.064353202;-3.293571212;5.538866759;-18.28278091;14.13163761;24.51263868;42.28295744;64.75343172;-4.908601044;7.202995617;-2.371904435;-14.90774573;-23.87126067;-8.174916404;-33.19;3.9668576
6.279606107;-3.558576407;0.272830704;9.492220342;-1.85458408;4.158103806;-24.56524007;7.487670503;9.986766017;36.57350353;55.10457193;-10.51171328;1.993722597;-4.061393856;-12.23308062;-26.65200906;-14.65056618;-35.89211679;2.857095077
3.408235481;-7.02064879;-5.486102211;4.053243199;-5.747467338;-0.035430018;-19.49174383;-1.357568773;2.707935034;28.30516279;45.18407823;-20.50484752;-5.290381091;-11.82;-14.63451513;-33.43306725;-19.56198293;-39.39832123;-1.074615851
-0.178264289;-12.72719529;-11.35833238;-2.111963441;-9.40769762;-3.118763342;-8.10532702;-5.485114406;7.714896115;24.20378148;42.6137613;-27.69140053;-8.917244511;-19.26746023;-20.89663379;-39.65294254;-19.59359831;-40.19897093;-4.06454861
-0.972305033;-18.33986573;-13.49481591;-3.83356222;-7.684552141;-2.407114004;-0.694888116;-1.684723758;19.30570188;27.72259262;47.88506387;-27.77307569;-6.903824138;-20.40614999;-28.84680457;-41.78631461;-15.40944076;-36.9899348;-3.67947189
0.346326757;-24.37325844;-13.12958835;-0.450784788;0.256193844;1.218349169;-3.400896989;6.933781789;26.67297764;35.81759611;54.50557315;-22.77831249;-2.532122731;-14.72381481;-36.65231067;-40.00494218;-10.80046139;-31.91684877;-0.81118883
0.176014792;-32.78208215;-14.69298788;4.037774152;11.08293965;4.294007529;-13.07440024;13.907893;23.88727435;41.65079825;55.47299648;-18.68144179;-0.863231972;-6.950294112;-42.65515155;-37.25245879;-9.26088954;-28.58202449;1.453431657
-3.728237002;-43.57936503;-20.68484556;4.988522838;20.74628121;4.002951336;-20.63420201;15.03874592;15.06003906;40.63052449;49.9560752;-19.60460469;-3.670058594;-2.167163242;-44.80063715;-36.00675621;-11.09408897;-28.74501198;0.830635572
