Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-22.26614088;-14.14820397;-25.95560298;-20.16523932;-19.55431312;-8.751207323;116.3069554;-3.66200345;20.48711556;-17.26478378;-6.590266039;-17.67210017;7.260701333;-34.6816719;-12.23372474;12.56603215;60.36165869;21.27608237;0.865892454
-15.49470425;-7.842546393;-16.23853993;-12.38917995;-17.15087934;-7.157200343;95.42693347;5.004086835;29.15295461;-5.14809472;2.677154219;-7.706101798;11.89966304;-26.95808123;-6.164479108;20.78067127;54.59737728;24.46352434;1.227399959
-5.166616344;1.011812842;-2.867463601;-2.826883207;-9.858088903;-3.707420587;47.11;9.39808973;25.45;6.266789195;6.893828773;1.333222669;10.28084384;-13.96102456;-2.294911453;22.98272645;35.0586031;20.78184058;1.521257492
3.716409558;7.409532853;7.670258603;5.057910298;-0.602658611;-0.296520123;-2.756686426;8.134897675;12.97737723;11.77064998;4.811176214;5.418619939;3.859704413;-2.342528186;-2.433014216;18.62109192;11.95634797;13.03016946;1.532970449
7.919436807;8.641550814;11.6795613;9.395756989;7.192866445;1.423975231;-30.85;3.231193022;0.002400138;10.50777891;-0.923100242;4.076310446;-3.165858789;3.274878807;-5.30012017;10.5950055;-4.093015009;5.575129078;1.189785303
7.826335334;5.907528995;10.31056155;11.19253116;11.84925444;1.067588048;-30.29631672;-1.432132448;-5.957940317;6.25167887;-5.67221194;0.496940576;-6.397499167;2.932436925;-7.51283931;3.18907279;-8.54635977;1.429242035;0.657036885
6.647686598;2.982391129;8.134532187;13.49578541;14.226925;-0.406110887;-12.31690451;-2.621962868;-2.506637571;4.475989824;-5.877393059;-0.945932539;-3.772210872;0.577793135;-5.872459401;-0.523673901;-4.652022252;0.684591184;0.271292716
7.760485689;3.089014049;9.494942708;18.99219719;16.63266787;-1.532118152;4.305953069;0.519246715;7.148751811;8.526198085;-1.113722958;2.151326041;3.523054647;0.692226826;0.500787778;-0.128189547;0.240361573;1.196075138;0.319331383
12.22122605;6.44592245;15.39107919;27.81917282;20.80112209;-1.419784532;7.184385765;6.514431813;17.38812861;17.66091052;6.129527108;8.701482246;12.14563847;4.909987849;9.458463441;2.514699773;0.489398066;0.657143081;0.802764825
18.19664169;10.3271241;23.06100802;37.24084693;26.51406106;-0.277872987;-2.593701362;12.97248608;24.24778884;28.09843752;12.47217896;15.18372446;18.71722136;11.04784387;16.90288485;4.870706526;-4.324872781;-1.672041442;1.372861623
22.53188842;11.44818242;28.31336306;43.417023;31.80889073;0.923566993;-14.31859141;18.11903817;27.34671519;35.8926376;15.80849458;18.27487075;21.47828884;15.01429737;18.99833833;5.309079996;-10.32220054;-4.766113975;1.522682987
23.1302987;8.699616308;28.67403071;43.91328532;34.45788458;1.294435598;-17.89914749;21.37123967;28.7234257;39.30181742;16.13218493;17.01896369;20.59010794;13.93067975;14.28089008;3.722682183;-13.21986975;-6.982329622;0.937921801
20.36806608;4.063873797;25.00152058;39.11496647;33.48879039;0.679494565;-11.7557013;22.85443448;30.14028463;39.07016203;14.76843477;13.07107384;17.29644424;8.075793942;4.53123824;1.096255936;-11.74299226;-7.391180955;-0.230285568
16.62829611;1.047814657;20.54815247;31.65834724;29.62693364;-0.335391272;-2.6450488;22.60708929;31.33571782;36.8940191;12.95673176;9.125678729;12.85322528;0.37750101;-6.063288044;-1.407260857;-8.02512107;-6.243491126;-1.381790621
14.4614928;1.911127318;18.38219664;24.54443383;24.48588353;-0.976762831;1.20999177;20.29265344;30.51334026;33.69513701;10.98812436;6.92487539;7.994510818;-5.882737604;-13.04228436;-3.168893721;-5.244730433;-4.44931065;-1.796117226
