Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-114.9950282;-194.5628491;-171.5486668;-23.60130628;-87.3063343;-17.89544669;-6.731197099;79.70359798;-38.3494494;74.29563882;-135.8315628;-220.6795395;-185.0559835;-206.2956935;68.23831538;12.35636044;-214.9746841;-195.5407324;25.36609961
-101.0227457;-133.0681253;-131.0183512;-19.56559458;-73.68551938;-20.99262664;-13.61427803;46.72150693;-40.87441389;42.02085001;-83.07277782;-166.3910158;-134.6515883;-148.0507553;53.13235466;8.196646096;-165.1447913;-141.4629356;4.882476551
-54.16300694;-38.49422516;-50.58708165;-6.714990284;-33.02543473;-14.49020991;-12.69433877;6.25953486;-34.68067556;-0.36261279;-7.748843939;-56.76690298;-47.57274629;-49.34510299;30.83156479;4.239355538;-65.3421576;-49.92453765;-11.53557085
-2.173828193;36.23989425;21.00569524;6.675351193;11.19859798;-2.636237034;-5.943442861;-20.45508835;-25.24206275;-30.69361855;47.68787694;41.87584175;28.2263418;31.41259378;14.98169161;3.523897671;27.6109341;25.49546451;-16.01266659
27.15334669;56.85558356;46.6672055;11.79917575;36.13896125;6.910078125;0.662456274;-23.97574465;-20.2695443;-37.85904474;57.71611541;78.45841678;57.35916824;54.90872143;11.79294207;5.627001596;67.6959979;47.88015279;-9.328908641
24.1372019;27.89898045;23.98606204;5.734755745;34.10500619;8.474548858;1.836081688;-10.732805;-23.78046096;-26.95638788;29.7835693;50.21263726;38.36355666;24.31367094;17.47781967;7.807661091;48.29697358;19.5372708;0.784946798
1.32274196;-15.60879814;-17.93943571;-6.606325995;15.49055182;2.12885358;-3.222633661;4.130266095;-33.16628156;-12.73624075;-4.490266442;-1.905502184;-0.281727903;-23.15945352;23.20581253;7.88507359;1.115154906;-24.87576299;6.051767007
-18.38802761;-36.73732461;-43.34120479;-16.38010919;-1.037488337;-6.879214072;-10.78566724;8.702221325;-41.48690239;-7.520039063;-15.05215382;-29.25615421;-24.42440062;-47.45997381;22.84335464;6.224439237;-31.36134939;-47.26805927;3.576584374
-19.54090107;-22.92306025;-36.03645396;-17.37692951;-2.803763796;-12.32691397;-16.00557553;1.806345766;-43.02144698;-13.13012983;4.396656531;-12.87287927;-19.0973211;-34.48782342;17.16905864;5.17846601;-27.31339527;-33.7883365;-3.057180745
-4.164547479;8.944770086;-7.64495836;-10.1486848;8.995042526;-11.45472764;-16.74188248;-8.687588008;-37.58553553;-22.1313136;34.36765183;26.83421416;4.368487646;-1.556507338;11.79894373;6.661222977;2.474100257;-0.919961901;-7.757311644
12.60343328;29.96974511;16.09341134;-0.762197845;22.78617813;-6.333935743;-14.70236891;-13.92913512;-30.28088392;-25.8752427;47.65989569;52.80822046;22.04007813;21.50173159;11.44110639;10.16330144;28.66862868;22.03592759;-7.236914405
16.32553075;23.4542058;17.62949517;4.397297701;27.35914464;-1.498157055;-13.27610516;-11.26543574;-27.12674372;-21.9337343;31.83807623;44.83424224;18.67675895;17.87606523;15.78682374;13.06498303;29.47444535;17.84560556;-3.28973274
4.762769362;-3.428101633;0.140093994;3.393656012;20.65225949;-0.115554288;-14.24264026;-5.066738448;-30.27595206;-15.06841465;-1.888478247;15.11241468;-1.009177516;-4.775937275;20.36233259;13.0135008;7.079773739;-6.577295772;-0.547180001
-11.67140728;-28.0821664;-18.26366054;-0.571012959;10.0048358;-1.861038246;-16.30079855;-1.631076455;-36.63099935;-11.94271581;-29.28058556;-5.646224203;-18.82358569;-24.10303858;21.07140131;10.25486641;-17.21591333;-28.78359826;-2.076638816
-19.62505189;-32.14766135;-21.60479977;-2.614411926;4.811535066;-3.929721502;-16.55748254;-3.360571508;-40.7107415;-14.92220442;-33.13603635;2.498635241;-19.90285657;-23.40763947;18.05225409;7.787176479;-22.69641613;-30.70877548;-6.74678445
-13.81760135;-15.54516045;-9.071371348;-0.519386504;8.484131509;-3.924164116;-13.44839224;-7.269464736;-39.15225917;-20.4069921;-16.03047484;30.41897662;-4.866671141;-4.680578325;15.39903754;9.048249861;-6.126123424;-12.56342509;-10.46429374
-0.35922622;5.689144877;6.238164079;3.680843138;16.38659851;-1.95062819;-8.379435209;-8.530746846;-33.1177022;-22.65025097;3.809518151;48.18244431;12.29101872;15.46034033;17.18247;14.97629512;17.55702553;9.772989137;-9.943144717
9.460774664;14.28246951;10.145951;5.889468145;20.7537377;-0.217625443;-4.632457137;-5.318934109;-26.87285863;-19.18296126;8.700209824;31.87527107;17.35862755;21.4765826;23.48857935;22.87587913;29.49667243;19.69106538;-5.599738238
8.821986013;5.893811931;-0.287066733;3.684297943;17.69262977;-0.743031134;-4.563922939;-0.458826078;-24.06176787;-12.9257568;-4.33395076;-14.76092902;7.935679737;11.74944724;30.04346992;28.08970396;22.7326077;13.34642952;-1.123015799
