Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
40.22999754;77.36507565;16.37056556;37.33172921;35.76010766;26.21978935;30.66146312;6.251589152;38.9162601;26.73085972;15.35917287;66.34761437;80.44030248;93.91460346;13.22704496;20.64938613;101.9581036;81.97250241;9.342685374
27.86608489;69.15307161;9.460690829;14.8109179;18.43755475;19.90674725;18.48629206;-2.129658086;29.56962571;6.302521975;11.99911607;51.56700259;64.1711308;69.63457066;6.863702694;15.71180647;101.0577259;73.09696204;5.657857159
10.77019217;54.55129138;4.44505734;-7.90742804;-1.145575181;9.70072512;4.592370766;-6.297644766;18.83660953;-8.968416035;-0.309403787;18.59683777;33.8591218;29.2447863;-7.060691243;8.413715979;75.25414906;52.44623107;0.838671512
-2.496249688;41.18789756;3.096778543;-21.55230426;-14.44107043;1.135192237;-5.827520978;-6.048509235;10.72444837;-15.39162668;-13.3067658;-13.59417263;5.578596596;-5.961736161;-24.61483125;2.619839234;43.79518156;31.19522532;-2.707813001
-6.945230767;30.9015615;4.599484851;-22.5367474;-17.53272194;-2.228011881;-9.943676255;-3.520447821;6.980381633;-14.73907866;-17.96737024;-26.76007813;-7.644807991;-20.16549637;-37.17397615;0.812275403;24.59312101;17.98131822;-3.463306497
-3.509185142;20.33996442;6.484508537;-14.09252328;-12.72169692;-0.648933657;-8.625015148;-1.557021466;6.410878001;-12.0396742;-10.92668917;-15.94900892;-3.368689514;-12.24320035;-37.34922072;2.781194507;23.61502582;15.27997933;-1.591244992
2.866369564;5.98605255;6.691886748;-2.87979822;-5.731431827;2.726932211;-5.27270108;-1.792364646;6.263318783;-11.602562;3.254521537;7.721321283;10.37439696;5.720353908;-24.55089422;6.124653508;33.99771886;19.90213565;1.29821693
7.381707438;-11.23128325;5.106020334;5.784170801;-1.101355869;4.578853559;-3.183776443;-3.765990031;4.499729218;-14.24093471;15.65438064;26.11813165;22.00710628;18.65375584;-5.734777443;8.044444582;43.91722177;26.37711501;3.205021711
8.408288123;-25.70418593;3.412155584;10.37686036;0.585049337;3.719115805;-3.440302697;-5.567400688;1.226022314;-17.46131788;19.55093827;27.84910078;24.60523208;19.26472294;9.33526671;7.131168327;46.03852719;30.49450574;2.926027998
7.39366361;-31.25522537;3.502272682;12.06960151;1.833126559;1.407568399;-4.747024814;-5.411428509;-1.701441657;-18.02873218;14.95168165;16.0784656;19.51380975;11.50142106;14.63367439;3.99865888;41.38958731;30.92482143;0.654080019
