Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
-68.15430652;-30.60329576;-72.61511593;-0.409628537;-35.43743841;-2.298028524;-17.92781413;15.33312074;-1.858188106;38.35861322;-12.47944064;-54.02300134;-60.93115171;-59.46975963;4.957125619;-2.95607609;-96.99155859;-42.06751938;-22.75078314
-24.37512932;24.5835829;-33.83665035;14.12907783;-10.97507118;1.19207892;-18.42512835;13.9987287;12.25744463;52.95123607;4.987227157;-8.330624834;-34.432408;-19.44083189;-5.421041945;-5.173739668;-38.84863488;-15.16909533;-7.918496076
6.598388406;52.50229648;-1.64967178;28.39432286;10.08262186;10.44123186;-15.60278725;15.6105134;29.62814122;65.63467542;10.97407144;33.9525609;-9.694103262;14.22641727;-20.40947495;-5.791410425;9.636478064;-10.44311723;3.316564957
15.92971866;46.9818299;2.787797138;33.97209542;20.3397838;19.08020163;-13.52593139;17.79638891;40.74225003;72.32195585;7.657217568;50.12836184;1.742320726;29.11094451;-35.61732672;-7.411617978;29.58881045;-17.20695387;7.104534357
7.854162887;19.48309564;-16.71285013;26.58175996;19.29655426;22.13830769;-14.21843423;17.9360161;41.57197251;71.86535104;1.84365369;39.62205067;-2.255703883;26.43971443;-45.42672271;-10.74360434;22.04040792;-22.79723881;3.50456037
-5.154365872;-10.14303989;-38.38501025;10.52719951;12.76783264;19.45866229;-16.56907658;15.37042745;35.34721655;67.09248517;-0.540924772;20.83037914;-13.91353047;17.37523371;-46.35532202;-13.9780033;3.215637479;-21.24909557;-3.374370686
-11.91896296;-26.44684365;-42.41546309;-3.426883394;8.242679783;15.08359314;-17.92308131;11.73352641;29.02007813;62.80391588;1.933214515;13.98207158;-22.27318978;13.13707851;-39.27100641;-14.53479308;-9.527804816;-15.16465296;-8.312816114
-9.464296242;-25.66701004;-26.4207216;-5.541751417;9.706972928;13.45594712;-16.69891405;9.306040136;27.70503756;62.33460374;6.58688566;25.09330898;-21.60818401;17.07285919;-28.91584868;-11.65723467;-9.69355789;-11.01914226;-8.609944558
-2.798828612;-13.92434649;-4.680676642;5.821716446;15.56803598;15.78612825;-13.71567648;8.992836838;31.44572764;65.44517456;9.734627365;43.58815186;-15.00434174;24.24697263;-21.19549106;-7.583044502;-3.234490866;-12.92252856;-5.580419197
1.006267357;0.082839326;6.142483572;23.09922636;20.79423667;19.53464283;-11.25631156;9.711922887;36.27301479;69.10142809;9.560629006;53.73799706;-10.73253006;27.5806195;-20.15024805;-6.195232844;-0.431633058;-19.83916475;-2.93606946
-1.067043265;11.20327185;1.282668915;35.15845617;21.24629884;21.13608608;-10.923476;9.609950627;37.98153965;70.25312637;6.816330717;48.80662346;-14.84172473;24.60071175;-26.398081;-10.13971884;-6.083185962;-27.42944754;-3.553745141
-6.443150141;18.81766602;-9.823475732;35.16016347;16.79300081;19.34341126;-12.28066961;7.891071442;35.29374593;68.18761011;3.599092627;35.82030354;-26.16051977;19.1950975;-37.51140341;-18.66446083;-16.0696924;-31.85593857;-7.243973103
-10.33687039;23.94470313;-13.74540878;24.69193629;11.05473594;16.22722191;-13.40211476;5.597163257;30.20203865;64.65194824;1.791475816;28.02152428;-37.54629154;17.55684994;-49.53747885;-27.87573956;-21.99525091;-32.13214588;-11.12038211
-10.3247762;26.59941156;-5.590383197;11.56089482;8.341203808;15.09680726;-12.68285112;4.712908359;25.90363531;62.00735441;2.331008753;32.72138804;-41.91613404;22.38717726;-58.61377333;-33.228888;-18.77074245;-29.74130407;-12.02121273
-7.949302872;26.03510862;7.310171746;3.693811624;10.37575146;17.36664327;-10.20264253;6.477494206;24.49053222;61.29313142;5.2483172;45.37403052;-37.79515775;30.44731927;-62.18302441;-32.41;-8.345605217;-26.76141794;-8.93516772
-6.387285503;22.82407444;12.97981208;4.159643398;15.28272796;21.24659209;-7.468325155;10.41294372;26.17826487;61.87841279;9.797539934;54.37302323;-29.85740909;35.28489328;-59.80545815;-26.59104309;2.978731133;-24.38654538;-3.6153837
