Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
4.364502637;-59.47182744;-0.635934294;-37.78602902;1.29685964;2.926606245;-104.868892;-69.34692549;-45.92613712;-26.98787514;-5.132223901;-57.42470499;-62.61487059;-57.22840608;9.199589887;10.8811118;-46.79210745;-52.30052938;-24.60350194
7.033037597;-75.53189087;4.994926914;-45.59078862;2.71697049;1.908314941;-129.0192215;-107.478779;-63.141398;-28.60219839;-19.33103963;-75.80321074;-77.34617614;-72.39912724;4.426462763;10.8225181;-56.04019569;-70.67037539;-25.62027808
8.634809808;-60.10288707;10.51291442;-29.05292071;7.968984901;0.139042304;-100.9391455;-94.969359;-50.06963455;-16.18483133;-19.8764475;-63.78417099;-64.1038506;-59.59302505;0.786932095;8.67085243;-39.73;-57.30782723;-15.79014358
8.591213308;-22.79077698;13.73147565;2.174131178;14.41754945;-1.335595476;-36.55830414;-40.71162022;-15.98098106;2.412333937;-9.889126721;-30.10891493;-31.30729024;-26.93720122;0.532744946;6.630255313;-7.013342358;-19.88633255;-1.020443364
7.066542784;13.37718381;13.15505489;29.32062606;18.77063214;-1.749589091;25.41083041;20.78890907;18.62848013;16.08950488;2.867512134;4.099282502;2.003355122;5.911474258;3.450291201;6.381692168;23.00334345;19.10268806;10.059406
4.833295607;28.14717751;9.106756609;37.65645735;19.34662833;-1.084169208;51.61421897;53.90475533;35.85946292;18.07235188;11.07276596;19.73727177;19.14317262;21.23219677;6.809637932;7.704439662;34.37042216;37.98995462;12.08089993
2.820194319;17.40553356;3.656237892;26.18897396;17.05337385;0.011011239;36.41795445;45.92971619;31.33694847;9.876849875;11.77236136;11.76884097;15.94283473;14.61346599;7.321713859;8.803757776;24.6755494;30.39282677;6.312311907
1.64003418;-5.918234379;-0.675182897;6.90207799;14.41103604;0.739350928;2.160968061;13.08896747;14.78688277;-1.003459627;6.761229823;-9.482682876;1.160868045;-3.812016814;3.643467966;8.028859964;5.293428167;7.991473554;-0.951454894
1.367661849;-23.13631813;-2.484947835;-5.260401355;13.48489672;0.70661406;-20.93149044;-14.67296169;0.892555284;-7.4457112;-0.124729147;-27.74054134;-12.01687165;-18.38697927;-2.520255486;5.43427134;-8.083698599;-9.758445832;-3.496886214
1.650397314;-23.82477913;-2.165809911;-3.502302497;14.39636705;0.106906142;-17.91652985;-17.11651711;-1.852140263;-7.890400688;-6.22137036;-32.93846025;-16.03933719;-19.70588782;-7.607005116;2.773825103;-7.028629076;-10.4761473;0.269147221
2.028841377;-11.8539574;-1.238816336;7.085561493;15.53118782;-0.533142935;2.60520301;2.935092086;4.126696191;-6.463186927;-11.27161558;-26.93558536;-12.95238463;-10.21908485;-8.782898771;1.917748455;4.603402793;3.131590119;6.726702379
2.248567605;0.160360348;-0.961913699;15.3036946;15.14666338;-0.794766694;19.6110434;25.37071471;9.804429876;-8.416877761;-16.20604341;-19.44701766;-10.22364589;-0.229342988;-5.944935565;3.116755123;15.31905849;17.467139;10.49655698
2.383856292;2.240664854;-1.3696362;13.70370603;12.96760367;-0.636380161;18.85587632;31.17524392;8.301710089;-15.02999272;-21.08749091;-18.72420675;-13.00026003;1.481962895;-1.64022615;4.714855418;15.83275884;20.04114523;8.890450258
2.722663851;-5.412840127;-1.475148492;4.333542489;10.44304966;-0.323577889;3.711211185;17.65760378;0.506054561;-22.283541;-24.32058754;-25.03451435;-19.62159903;-5.524567648;0.951550105;4.641189144;6.090190013;9.229587556;3.773562079
3.499809241;-14.23764414;-0.361139404;-3.854088511;9.50063755;-0.142188331;-10.09406234;-1.25232014;-6.59929975;-24.27867938;-23.86466716;-31.76134434;-23.71913125;-14.12700391;0.342802442;2.392228113;-5.64086886;-5.589388821;-0.397353037
4.651219226;-15.78921605;1.84523669;-3.078156106;10.88957505;-0.16617382;-9.464815524;-8.359760265;-6.670277723;-18.3623373;-19.29322223;-32.19969044;-20.39184733;-16.4828312;-2.412188632;-0.303493501;-10.09368535;-12.63562638;-0.435180105
5.760826534;-9.01827398;3.975719321;6.800246724;13.51417263;-0.258775976;5.052904353;1.996205105;0.391700663;-7.603009674;-12.76723876;-25.65948276;-10.76591685;-10.68977264;-4.874972503;-0.854452535;-4.366775351;-7.329551432;3.113717626
6.274852436;-0.327843473;4.799377943;18.64326571;15.30461126;-0.258833191;21.1009684;20.03824963;8.637865674;1.418308169;-7.93;-17.75024421;-1.119668008;-1.837075929;-5.322319149;1.868334202;6.450538797;4.899129871;6.792402631
5.896184788;2.883713258;4.135864325;24.44118729;14.89205452;-0.15221328;26.21889323;29.91571612;11.46234301;3.626673979;-7.505233173;-15.13368667;2.328079318;2.82656579;-4.060970247;6.257636112;14.07275156;14.16676454;7.388400743
4.924912145;-1.033359554;3.155348353;22.01109193;12.7142037;-0.071320633;18.37744013;23.56501157;7.221893555;-0.81912971;-11.46084735;-19.70759949;-1.712966698;0.004802651;-2.980903147;8.966009787;13.76721575;14.68328617;4.619648305
4.284487621;-6.896638235;3.60186308;16.39216989;10.67437197;-0.143149393;6.432216197;7.193741253;0.290001831;-6.988782724;-17.12649006;-27.25611436;-9.104085863;-7.456766606;-3.843825273;7.498421039;7.51;8.989021579;1.153288091
5.12391757;-7.814580527;6.554488839;15.12713561;10.66226063;-0.346545623;1.189239119;-4.562254454;-3.035921479;-9.250975356;-21.09406323;-31.38804756;-14.18374869;-13.71311883;-6.773732693;2.332581357;1.467476184;4.820800378;0.141410121
8.156150448;-1.566080424;11.68095658;21.7564197;13.12946346;-0.519303904;5.839039205;-1.231735932;0.052606268;-5.556448764;-21.40902026;-29.00757485;-14.43611863;-15.18548152;-10.14133276;-3.195906718;0.50059052;7.939605855;2.515157592
13.11260387;7.524593475;17.49629206;33.03776875;16.80362285;-0.506077683;14.18174558;14.9411148;6.817381634;1.381827673;-18.4983561;-22.54915627;-11.98301769;-13.25581072;-11.83053953;-5.224684036;4.477334095;17.30592527;6.318580189
18.68932364;12.67829726;22.33057494;41.91941276;19.67156715;-0.304374115;17.37913987;31.27490825;11.75674183;6.620441078;-14.40075129;-17.35264947;-11.0101337;-12.33346336;-10.78743886;-2.11247469;9.144870128;26.43727951;8.49375287
23.09133834;10.81374199;25.21910954;43.37711722;20.38274959;-0.070421922;12.34525138;35.27133054;11.48332064;6.887598818;-11.15499099;-16.84453103;-13.75144893;-15.40823887;-7.644444114;4.502072871;10.24978356;29.23392228;7.449879662
24.90132325;5.192024489;26.11719118;38.08983146;18.99739501;0.020531094;4.07769812;24.50951616;7.364813115;2.709122272;-9.641504343;-19.85406247;-18.6054801;-21.21300128;-4.074012895;11.04314497;7.067020965;24.93799716;4.221145247
23.7652599;2.303232057;25.47388916;31.15460208;16.63622148;-0.069550218;0.391003476;7.986631148;3.841106258;-2.608888064;-9.551981352;-22.19326596;-21.77173473;-25.40512365;-1.554547745;14.55420123;2.454524845;18.10625497;1.372127387
20.48028579;5.920078125;23.6940966;27.41896859;14.48571501;-0.210780439;4.54142081;-1.5225191;4.21986764;-5.857572902;-10.15474982;-20.75679956;-20.64362853;-24.49434831;-0.569350565;14.44295597;-0.165631904;14.1007715;0.764212975
16.44425832;13.65613342;20.97801274;27.6749997;13.02717089;-0.225472967;12.6976968;2.55580277;7.817941084;-6.113487005;-11.00503769;-16.33502562;-15.87800634;-18.92114143;-0.720029297;12.23407945;0.099069898;14.40893125;2.153713512
