Channel 1 - P4;Channel 2 - O2;Channel 3 - P8;Channel 4 - T8;Channel 5 - C4;Channel 6 - Cz;Channel 7 - Fz;Channel 8 - F4;Channel 9 - Fp2;Channel 10 - F8;Channel 11 - Fp1;Channel 12 - F7;Channel 13 - F3;Channel 14 - C3;Channel 15 - T7;Channel 16 - P7;Channel 17 - P3;Channel 18 - O1;Channel 19 - Pz
13.2741266;13.81785791;-58.47820348;13.50917764;5.039407772;10.58007813;-72.84331555;-65.29887024;29.80637017;35.61789948;29.64512704;6.864535463;21.43757001;-12.85762395;-5.401668365;-26.72619815;14.67875699;-4.127533477;35.27379917
18.81161219;22.46072463;-39.77456171;9.861335759;16.43150594;10.15506286;-44.04695065;-55.88450813;41.80429553;38.08478871;41.61268109;37.61513404;22.55679427;18.7928818;14.67787282;-8.608711744;13.76685997;7.802903988;30.39704091
15.25797964;17.28020499;-18.33411065;7.490506592;19.98703586;6.718968887;-7.429012431;-32.73132712;43.56864821;29.47185912;46.64157656;66.56904787;20.44845472;48.96180418;30.98117853;8.718625633;7.22231728;9.392462344;18.10294393
5.371452459;3.163563783;-9.036759466;8.829323347;15.44534639;1.980501291;19.25860452;-8.423162837;38.8433906;18.36321352;44.52528608;76.18;17.63884865;55.2281497;37.34874193;15.09131783;-1.582425103;1.93447551;4.769026696
-4.098102288;-9.976630589;-15.82014412;12.34820993;7.987894912;-1.79260092;27.05948604;6.299921649;34.49783905;13.61901153;38.51305767;56.95222275;16.41126741;29.12344217;34.14467613;9.413560149;-8.149236967;-7.825816223;-3.668085525
-7.33033294;-14.20558271;-30.4789059;13.64492265;3.968527601;-3.146673173;19.81857645;8.299264832;35.46699429;18.25232695;33.39307345;13.95975942;17.40055519;-17.7440188;26.93445563;-0.869347169;-9.728371855;-12.72163798;-5.07223828
-3.526741964;-8.894144792;-40.44363783;9.307915496;6.083252122;-2.205009852;9.122766619;2.217932603;41.67910968;28.10957791;32.66226124;-35.18625275;19.39597646;-61.03718054;21.79114688;-6.37590609;-6.926867316;-10.23051321;-1.752482351
2.909774036;-0.438589048;-38.77990572;0.346818687;11.70204752;-0.34920013;4.916793433;-4.215778238;48.97676228;35.85377612;36.66610358;-69.85703037;20.43324341;-79.2981524;21.12327584;-2.928599084;-2.930460939;-3.751519119;1.785167848
6.108783793;3.199762549;-28.56859449;-7.898026281;15.44645289;0.869902854;9.098973919;-5.84733981;52.87425166;36.75375128;42.88440616;-77.51457298;19.35425677;-66.93490311;23.0822611;6.130391908;-1.000384794;0.701869977;2.18311681
3.33722884;-1.26576627;-18.96470374;-9.65112225;13.70950409;0.76556844;16.22759051;-2.74923767;51.97831046;31.77034683;47.98487867;-59.65731308;16.70605816;-36.00833647;24.40226541;13.5536917;-2.162659541;-0.421396067;-0.710190864
-3.137467425;-10.26452027;-17.03783511;-3.431634148;7.420775004;-0.213960177;19.56056208;1.33985539;48.51988015;25.94782285;50.05480191;-29.40124769;14.35632156;-6.527175297;23.76815514;14.24373159;-4.76687436;-5.467216875;-4.326885105
-8.226151307;-16.69513436;-22.40129854;6.301674269;0.990222736;-1.060175825;16.86531673;2.802473326;45.99496617;23.9177105;49.45083718;-2.880635528;14.14330906;7.093943125;22.75736436;8.909835314;-6.07694566;-9.238385208;-5.744664591
-8.271729543;-15.80530268;-28.63151271;12.19947289;-1.444183154;-1.082557897;11.47798663;0.937899759;46.19101896;26.33626591;47.88405631;9.76745356;16.56110972;3.867869942;23.87119374;2.985635319;-4.49693026;-7.493529864;-3.988840691
-3.851646336;-8.797234488;-29.5182903;9.567771708;0.746945567;-0.392489785;8.556858524;-2.10633628;48.07467619;29.90703253;46.70611288;8.466557294;20.41675075;-6.136007791;27.82196333;2.310767735;-0.659076076;-0.471444926;-0.576691392
1.045481403;-1.413048201;-24.40603146;0.030409542;4.530087891;0.316274918;10.37451874;-3.628399603;49.17800501;30.52581922;45.83874971;0.677469162;23.65787832;-11.16423265;32.72926509;9.112315411;3.354947053;7.422459093;1.920944567
2.58597948;1.045555467;-18.2116144;-9.727029379;6.019729012;0.417933097;14.73820391;-2.666891317;47.963527;26.6846947;44.10646949;-5.043327367;24.7246144;-6.463935276;35.90643504;20.8533829;5.841403245;11.36140447;2.01334895
0.314615307;-2.011690024;-16.59549246;-13.25873133;3.738158834;-0.139735727;17.46133153;-0.476699741;45.00967698;20.4083576;40.53453311;-4.70650535;23.44769854;3.76941894;36.41173834;31.96014606;6.760607037;10.04423575;0.407246871
-2.626431256;-6.373844602;-20.83179288;-9.503415223;-0.36350198;-0.863443888;16.26312827;0.876090355;42.13250247;15.27961044;35.44890537;-0.34977234;20.90828304;11.40654243;35.83295467;36.65011932;7.475456922;6.561608223;-0.697710421
-2.348756733;-6.977085833;-26.82193628;-3.593955722;-2.77479516;-1.187715855;12.56502933;0.349839065;40.47058976;13.47217177;30.47792994;2.826338239;18.45892441;11.42709742;36.49115751;31.18937898;9.307787787;5.576164057;0.520845586
2.339556091;-2.413355152;-28.84138134;-2.611177181;-1.430452158;-0.950932238;9.858885773;-1.365053551;39.38401916;14.24857663;27.49013625;0.892020223;16.68309662;5.333626084;38.76443692;15.10105826;12.2483876;9.303713602;3.997480923
8.777525538;3.795947336;-24.54415587;-9.692369828;2.675721377;-0.477831206;10.42934494;-2.664262564;37.11620318;14.89020046;27.30379676;-6.148834347;15.04270265;-1.063682994;40.18163341;-8.414121308;14.93593137;15.6959623;7.799440524
12.47648178;6.124588653;-16.91888153;-21.32016089;6.43353731;-0.242613504;13.46037925;-2.471768907;32.47921305;12.96963183;29.08137703;-15.01743737;12.40690819;-2.851191387;37.38687937;-32.89231338;15.86287128;20.26771583;9.609538719
10.5946047;1.62229992;-11.74072768;-30.08835419;7.10500017;-0.443101075;16.0498696;-1.037860385;25.93420371;7.995202391;30.73930373;-22.08142386;8.022243957;0.344851743;29.39315028;-50.40865848;14.70692959;19.91662397;8.475051732
4.039570278;-7.64816249;-12.90842614;-30.76651248;4.2282839;-0.860216478;15.96590773;0.455435995;19.11706222;1.302631673;30.01844389;-25.99049416;2.226006401;4.898874058;19.17490199;-54.85804113;12.62526142;15.48081227;5.4722288
-3.367955356;-16.20189784;-19.59574843;-24.70813219;-0.444785205;-1.097358658;13.55795603;0.975360954;13.39320771;-5.315633569;25.58093921;-28.05017265;-3.553103948;6.817907031;11.91742633;-45.37087385;11.28868563;10.95501194;2.827113649
-7.805929436;-19.28673348;-27.30748415;-18.88896759;-4.58097512;-0.955982696;11.21379567;0.422063476;8.930815248;-10.83544743;17.67673451;-30.35240361;-7.46551772;5.060807117;11.11715084;-27.50040075;11.52054182;10.14628744;2.233191997
-8.021263062;-16.18388511;-31.56672664;-20.18916095;-6.879233334;-0.60302441;11.06110307;-0.468962672;5.203356809;-15.12130382;8.229990439;-33.47079023;-8.158749082;1.890817274;15.7071265;-10.65269822;12.69745612;13.63263519;3.676808021
